Acat03G003060.1	EVM0000001.1
Acat06G009480.1	EVM0000002.1
Acat04G023380.1	EVM0000003.1
Acat12G013650.1	EVM0000004.1
Acat05G000120.1	EVM0000005.1
Acat03G012680.1	EVM0000006.1
Acat03G030190.1	EVM0000007.1
Acat02G015420.1	EVM0000008.1
Acat02G011210.1	EVM0000009.1
Acat13G018520.1	EVM0000010.1
Acat07G016480.1	EVM0000011.1
Acat13G018580.1	EVM0000012.1
Acat06G007770.1	EVM0000013.1
Acat0819S000010.1	EVM0000014.1
Acat02G026080.1	EVM0000015.1
Acat11G016920.1	EVM0000016.1
Acat09G012340.1	EVM0000017.1
Acat10G013440.1	EVM0000018.1
Acat04G020830.1	EVM0000019.1
Acat02G025150.1	EVM0000020.1
Acat03G016650.1	EVM0000021.1
Acat06G009330.1	EVM0000022.1
Acat1311S000480.1	EVM0000023.1
Acat04G025560.1	EVM0000024.1
Acat0419S000140.1	EVM0000025.1
Acat02G024550.1	EVM0000026.1
Acat05G009840.1	EVM0000027.1
Acat02G010870.1	EVM0000028.1
Acat03G034280.1	EVM0000029.1
Acat08G009350.1	EVM0000030.1
Acat08G003950.1	EVM0000031.1
Acat06G016270.1	EVM0000032.1
Acat1717S000120.1	EVM0000033.1
Acat04G001120.1	EVM0000034.1
Acat10G011320.1	EVM0000035.1
Acat01G005520.1	EVM0000036.1
Acat03G024210.1	EVM0000037.1
Acat03G004320.1	EVM0000038.1
Acat09G016640.1	EVM0000039.3
Acat09G007520.1	EVM0000040.1
Acat1127S000020.1	EVM0000041.1
Acat12G006440.1	EVM0000042.1
Acat1155S000260.1	EVM0000043.1
Acat06G008350.1	EVM0000044.1
Acat02G014630.1	EVM0000045.1
Acat05G013200.1	EVM0000046.1
Acat05G015620.1	EVM0000047.1
Acat10G010480.1	EVM0000048.1
Acat0663S000030.1	EVM0000049.2
Acat12G011720.1	EVM0000050.1
Acat12G002370.1	EVM0000051.1
Acat1416S000540.1	EVM0000052.1
Acat08G008740.1	EVM0000053.1
Acat07G003520.1	EVM0000054.1
Acat03G034660.1	EVM0000055.1
Acat1406S000060.1	EVM0000056.1
Acat1199S000050.1	EVM0000057.1
Acat10G010470.1	EVM0000058.1
Acat05G019180.1	EVM0000059.1
Acat10G010630.1	EVM0000060.1
Acat05G011580.1	EVM0000061.1
Acat08G001210.1	EVM0000062.1
Acat02G020660.1	EVM0000063.1
Acat07G005650.1	EVM0000064.1
Acat02G011970.1	EVM0000065.1
Acat03G005470.1	EVM0000066.1
Acat09G006120.1	EVM0000067.1
Acat04G003290.1	EVM0000068.1
Acat01G010710.1	EVM0000069.1
Acat06G000690.1	EVM0000070.1
Acat11G017070.1	EVM0000071.1
Acat04G003800.1	EVM0000072.1
Acat09G010290.1	EVM0000073.1
Acat04G028180.1	EVM0000074.1
Acat04G018230.1	EVM0000075.1
Acat09G009650.1	EVM0000076.1
Acat0838S000010.1	EVM0000077.1
Acat10G001480.1	EVM0000078.1
Acat1731S000040.1	EVM0000079.1
Acat05G010190.1	EVM0000080.1
Acat1364S000570.1	EVM0000081.1
Acat11G011330.1	EVM0000082.1
Acat05G000500.1	EVM0000083.1
Acat11G018350.1	EVM0000084.1
Acat03G008420.1	EVM0000085.1
Acat04G014680.1	EVM0000086.1
Acat0958S000070.1	EVM0000087.1
Acat02G012380.1	EVM0000088.1
Acat03G024280.1	EVM0000089.1
Acat0939S000030.1	EVM0000090.1
Acat1416S000190.1	EVM0000091.1
Acat07G016420.1	EVM0000092.1
Acat07G011040.1	EVM0000093.1
Acat1542S000030.1	EVM0000094.1
Acat1112S000040.1	EVM0000095.1
Acat02G022420.1	EVM0000096.1
Acat02G034080.1	EVM0000097.1
Acat1316S000210.1	EVM0000098.1
Acat04G028300.1	EVM0000099.1
Acat03G009990.1	EVM0000100.1
Acat04G007990.1	EVM0000101.7
Acat09G009510.1	EVM0000102.1
Acat02G009990.1	EVM0000103.1
Acat02G008770.1	EVM0000104.1
Acat0735S000010.1	EVM0000105.1
Acat06G016020.1	EVM0000106.1
Acat02G015000.1	EVM0000107.1
Acat0958S000130.1	EVM0000108.1
Acat05G006890.1	EVM0000109.1
Acat07G011070.1	EVM0000110.1
Acat08G013780.1	EVM0000111.1
Acat02G027630.1	EVM0000112.1
Acat04G002660.1	EVM0000113.1
Acat12G017450.1	EVM0000114.1
Acat0591S000010.1	EVM0000115.1
Acat12G018350.1	EVM0000116.1
Acat09G002770.1	EVM0000117.1
Acat1433S000030.1	EVM0000118.1
Acat12G014960.1	EVM0000119.1
Acat11G002800.1	EVM0000120.1
Acat03G027580.1	EVM0000121.1
Acat07G006880.1	EVM0000122.1
Acat0607S000010.1	EVM0000123.1
Acat11G009470.1	EVM0000124.1
Acat04G015520.1	EVM0000125.1
Acat04G006880.1	EVM0000126.1
Acat04G018010.1	EVM0000127.1
Acat11G004460.1	EVM0000128.2
Acat11G004830.1	EVM0000129.1
Acat08G010560.1	EVM0000130.1
Acat04G009620.1	EVM0000131.1
Acat05G000260.1	EVM0000132.1
Acat04G007540.1	EVM0000133.1
Acat01G029800.1	EVM0000134.1
Acat0122S000080.1	EVM0000135.1
Acat01G024340.1	EVM0000136.1
Acat11G003100.1	EVM0000137.1
Acat10G017060.1	EVM0000138.1
Acat01G008980.1	EVM0000139.1
