Acat_scaffold0002	Contig00002
Acat_scaffold0003	Contig00003
Acat_scaffold0004	Contig00004
Acat_scaffold0005	Contig00005
Acat_scaffold0006	Contig00006
Acat_scaffold0007	Contig00007
Acat_scaffold0008	Contig00008
Acat_scaffold0009	Contig00009
Acat_scaffold0010	Contig00010
Acat_scaffold0011	Contig00011
Acat_scaffold0012	Contig00012
Acat_scaffold0013	Contig00013
Acat_scaffold0014	Contig00014
Acat_scaffold0015	Contig00015
Acat_scaffold0016	Contig00016
Acat_scaffold0017	Contig00017
Acat_scaffold0018	Contig00018
Acat_scaffold0019	Contig00019
Acat_scaffold0020	Contig00020
Acat_scaffold0021	Contig00021
Acat_scaffold0023	Contig00023
Acat_scaffold0024	Contig00024
Acat_scaffold0026	Contig00026
Acat_scaffold0027	Contig00027
Acat_scaffold0028	Contig00028
Acat_scaffold0031	Contig00031
Acat_scaffold0032	Contig00032
Acat_scaffold0034	Contig00034
Acat_scaffold0035	Contig00035
Acat_scaffold0036	Contig00036
Acat_scaffold0037	Contig00037
Acat_scaffold0038	Contig00038
Acat_scaffold0039	Contig00039
Acat_scaffold0040	Contig00040
Acat_scaffold0041	Contig00041
Acat_scaffold0042	Contig00042
Acat_scaffold0043	Contig00043
Acat_scaffold0044	Contig00044
Acat_scaffold0045	Contig00045
Acat_scaffold0046	Contig00046
Acat_scaffold0047	Contig00047
Acat_scaffold0048	Contig00048
Acat_scaffold0049	Contig00049
Acat_scaffold0050	Contig00050
Acat_scaffold0051	Contig00051
Acat_scaffold0053	Contig00053
Acat_scaffold0054	Contig00054
Acat_scaffold0055	Contig00055
Acat_scaffold0056	Contig00056
Acat_scaffold0057	Contig00057
Acat_scaffold0058	Contig00058
Acat_scaffold0059	Contig00059
Acat_scaffold0060	Contig00060
Acat_scaffold0061	Contig00061
Acat_scaffold0062	Contig00062
Acat_scaffold0063	Contig00063
Acat_scaffold0064	Contig00064
Acat_scaffold0065	Contig00065
Acat_scaffold0066	Contig00066
Acat_scaffold0067	Contig00067
Acat_scaffold0068	Contig00068
Acat_scaffold0069	Contig00069
Acat_scaffold0070	Contig00070
Acat_scaffold0071	Contig00071
Acat_scaffold0072	Contig00072
Acat_scaffold0073	Contig00073
Acat_scaffold0074	Contig00074
Acat_scaffold0075	Contig00075
Acat_scaffold0076	Contig00076
Acat_scaffold0077	Contig00077
Acat_scaffold0078	Contig00078
Acat_scaffold0079	Contig00079
Acat_scaffold0080	Contig00080
Acat_scaffold0081	Contig00081
Acat_scaffold0082	Contig00082
Acat_scaffold0083	Contig00083
Acat_scaffold0084	Contig00084
Acat_scaffold0085	Contig00085
Acat_scaffold0086	Contig00086
Acat_scaffold0087	Contig00087
Acat_scaffold0088	Contig00088
Acat_scaffold0089	Contig00089
Acat_scaffold0090	Contig00090
Acat_scaffold0091	Contig00091
Acat_scaffold0092	Contig00092
Acat_scaffold0093	Contig00093
Acat_scaffold0094	Contig00094
Acat_scaffold0095	Contig00095
Acat_scaffold0096	Contig00096
Acat_scaffold0097	Contig00097
Acat_scaffold0098	Contig00098
Acat_scaffold0099	Contig00099
Acat_scaffold0100	Contig00100
Acat_scaffold0101	Contig00101
Acat_scaffold0102	Contig00102
Acat_scaffold0103	Contig00103
Acat_scaffold0104	Contig00104
Acat_scaffold0105	Contig00105
Acat_scaffold0106	Contig00106
Acat_scaffold0107	Contig00107
Acat_scaffold0108	Contig00108
Acat_scaffold0109	Contig00109
Acat_scaffold0110	Contig00110
Acat_scaffold0111	Contig00111
Acat_scaffold0112	Contig00112
Acat_scaffold0113	Contig00113
Acat_scaffold0115	Contig00115
Acat_scaffold0116	Contig00116
Acat_scaffold0117	Contig00117
Acat_scaffold0118	Contig00118
Acat_scaffold0119	Contig00119
Acat_scaffold0120	Contig00120
Acat_scaffold0121	Contig00121
Acat_scaffold0122	Contig00122
Acat_scaffold0123	Contig00123
Acat_scaffold0124	Contig00124
Acat_scaffold0125	Contig00125
Acat_scaffold0126	Contig00126
Acat_scaffold0127	Contig00127
Acat_scaffold0128	Contig00128
Acat_scaffold0129	Contig00129
Acat_scaffold0130	Contig00130
Acat_scaffold0131	Contig00131
Acat_scaffold0132	Contig00132
Acat_scaffold0133	Contig00133
Acat_scaffold0134	Contig00134
Acat_scaffold0135	Contig00135
Acat_scaffold0136	Contig00136
Acat_scaffold0137	Contig00137
Acat_scaffold0138	Contig00138
Acat_scaffold0139	Contig00139
Acat_scaffold0140	Contig00140
Acat_scaffold0141	Contig00141
Acat_scaffold0142	Contig00142
Acat_scaffold0143	Contig00143
Acat_scaffold0144	Contig00144
Acat_scaffold0145	Contig00145
Acat_scaffold0146	Contig00146
Acat_scaffold0147	Contig00147
Acat_scaffold0148	Contig00148
Acat_scaffold0149	Contig00149
Acat_scaffold0150	Contig00150
Acat_scaffold0151	Contig00151
Acat_scaffold0152	Contig00152
Acat_scaffold0153	Contig00153
Acat_scaffold0154	Contig00154
Acat_scaffold0155	Contig00155
Acat_scaffold0156	Contig00156
Acat_scaffold0157	Contig00157
Acat_scaffold0158	Contig00158
Acat_scaffold0159	Contig00159
Acat_scaffold0160	Contig00160
Acat_scaffold0161	Contig00161
Acat_scaffold0162	Contig00162
Acat_scaffold0163	Contig00163
Acat_scaffold0164	Contig00164
Acat_scaffold0165	Contig00165
Acat_scaffold0166	Contig00166
Acat_scaffold0167	Contig00167
Acat_scaffold0168	Contig00168
Acat_scaffold0169	Contig00169
Acat_scaffold0170	Contig00170
Acat_scaffold0171	Contig00171
Acat_scaffold0172	Contig00172
Acat_scaffold0173	Contig00173
Acat_scaffold0174	Contig00174
Acat_scaffold0175	Contig00175
Acat_scaffold0176	Contig00176
Acat_scaffold0177	Contig00177
Acat_scaffold0178	Contig00178
Acat_scaffold0179	Contig00179
Acat_scaffold0180	Contig00180
Acat_scaffold0181	Contig00181
Acat_scaffold0182	Contig00182
Acat_scaffold0183	Contig00183
Acat_scaffold0184	Contig00184
Acat_scaffold0185	Contig00185
Acat_scaffold0186	Contig00186
Acat_scaffold0187	Contig00187
Acat_scaffold0188	Contig00188
Acat_scaffold0189	Contig00189
Acat_scaffold0190	Contig00190
Acat_scaffold0191	Contig00191
Acat_scaffold0192	Contig00192
Acat_scaffold0193	Contig00193
Acat_scaffold0194	Contig00194
Acat_scaffold0195	Contig00195
Acat_scaffold0196	Contig00196
Acat_scaffold0197	Contig00197
Acat_scaffold0198	Contig00198
Acat_scaffold0199	Contig00199
Acat_scaffold0200	Contig00200
Acat_scaffold0201	Contig00201
Acat_scaffold0202	Contig00202
Acat_scaffold0203	Contig00203
Acat_scaffold0204	Contig00204
Acat_scaffold0205	Contig00205
Acat_scaffold0206	Contig00206
Acat_scaffold0207	Contig00207
Acat_scaffold0208	Contig00208
Acat_scaffold0209	Contig00209
Acat_scaffold0210	Contig00210
Acat_scaffold0211	Contig00211
Acat_scaffold0212	Contig00212
Acat_scaffold0213	Contig00213
Acat_scaffold0214	Contig00214
Acat_scaffold0215	Contig00215
Acat_scaffold0216	Contig00216
Acat_scaffold0217	Contig00217
Acat_scaffold0218	Contig00218
Acat_scaffold0219	Contig00219
Acat_scaffold0220	Contig00220
Acat_scaffold0221	Contig00221
Acat_scaffold0222	Contig00222
Acat_scaffold0223	Contig00223
Acat_scaffold0224	Contig00224
Acat_scaffold0225	Contig00225
Acat_scaffold0226	Contig00226
Acat_scaffold0227	Contig00227
Acat_scaffold0228	Contig00228
Acat_scaffold0229	Contig00229
Acat_scaffold0230	Contig00230
Acat_scaffold0231	Contig00231
Acat_scaffold0232	Contig00232
Acat_scaffold0233	Contig00233
Acat_scaffold0234	Contig00234
Acat_scaffold0235	Contig00235
Acat_scaffold0236	Contig00236
Acat_scaffold0237	Contig00237
Acat_scaffold0238	Contig00238
Acat_scaffold0239	Contig00239
Acat_scaffold0240	Contig00240
Acat_scaffold0241	Contig00241
Acat_scaffold0242	Contig00242
Acat_scaffold0243	Contig00243
Acat_scaffold0244	Contig00244
Acat_scaffold0245	Contig00245
Acat_scaffold0246	Contig00246
Acat_scaffold0247	Contig00247
Acat_scaffold0248	Contig00248
Acat_scaffold0249	Contig00249
Acat_scaffold0250	Contig00250
Acat_scaffold0251	Contig00251
Acat_scaffold0252	Contig00252
Acat_scaffold0253	Contig00253
Acat_scaffold0254	Contig00254
Acat_scaffold0255	Contig00255
Acat_scaffold0256	Contig00256
Acat_scaffold0257	Contig00257
Acat_scaffold0258	Contig00258
Acat_scaffold0259	Contig00259
Acat_scaffold0260	Contig00260
Acat_scaffold0261	Contig00261
Acat_scaffold0262	Contig00262
Acat_scaffold0263	Contig00263
Acat_scaffold0264	Contig00264
Acat_scaffold0265	Contig00265
Acat_scaffold0266	Contig00266
Acat_scaffold0267	Contig00267
Acat_scaffold0268	Contig00268
Acat_scaffold0269	Contig00269
Acat_scaffold0270	Contig00270
Acat_scaffold0271	Contig00271
Acat_scaffold0272	Contig00272
Acat_scaffold0273	Contig00273
Acat_scaffold0274	Contig00274
Acat_scaffold0275	Contig00275
Acat_scaffold0276	Contig00276
Acat_scaffold0277	Contig00277
Acat_scaffold0278	Contig00278
Acat_scaffold0279	Contig00279
Acat_scaffold0280	Contig00280
Acat_scaffold0281	Contig00281
Acat_scaffold0282	Contig00282
Acat_scaffold0283	Contig00283
Acat_scaffold0284	Contig00284
Acat_scaffold0285	Contig00285
Acat_scaffold0286	Contig00286
Acat_scaffold0287	Contig00287
Acat_scaffold0288	Contig00288
Acat_scaffold0289	Contig00289
Acat_scaffold0290	Contig00290
Acat_scaffold0291	Contig00291
Acat_scaffold0292	Contig00292
Acat_scaffold0293	Contig00293
Acat_scaffold0294	Contig00294
Acat_scaffold0295	Contig00295
Acat_scaffold0296	Contig00296
Acat_scaffold0297	Contig00297
Acat_scaffold0298	Contig00298
Acat_scaffold0299	Contig00299
Acat_scaffold0300	Contig00300
Acat_scaffold0301	Contig00301
Acat_scaffold0302	Contig00302
Acat_scaffold0303	Contig00303
Acat_scaffold0304	Contig00304
Acat_scaffold0305	Contig00305
Acat_scaffold0306	Contig00306
Acat_scaffold0307	Contig00307
Acat_scaffold0308	Contig00308
Acat_scaffold0309	Contig00309
Acat_scaffold0310	Contig00310
Acat_scaffold0311	Contig00311
Acat_scaffold0312	Contig00312
Acat_scaffold0313	Contig00313
Acat_scaffold0314	Contig00314
Acat_scaffold0315	Contig00315
Acat_scaffold0316	Contig00316
Acat_scaffold0317	Contig00317
Acat_scaffold0318	Contig00318
Acat_scaffold0319	Contig00319
Acat_scaffold0320	Contig00320
Acat_scaffold0321	Contig00321
Acat_scaffold0322	Contig00322
Acat_scaffold0323	Contig00323
Acat_scaffold0324	Contig00324
Acat_scaffold0325	Contig00325
Acat_scaffold0326	Contig00326
Acat_scaffold0327	Contig00327
Acat_scaffold0328	Contig00328
Acat_scaffold0329	Contig00329
Acat_scaffold0330	Contig00330
Acat_scaffold0331	Contig00331
Acat_scaffold0332	Contig00332
Acat_scaffold0333	Contig00333
Acat_scaffold0334	Contig00334
Acat_scaffold0335	Contig00335
Acat_scaffold0336	Contig00336
Acat_scaffold0337	Contig00337
Acat_scaffold0338	Contig00338
Acat_scaffold0339	Contig00339
Acat_scaffold0340	Contig00340
Acat_scaffold0341	Contig00341
Acat_scaffold0342	Contig00342
Acat_scaffold0343	Contig00343
Acat_scaffold0344	Contig00344
Acat_scaffold0345	Contig00345
Acat_scaffold0346	Contig00346
Acat_scaffold0347	Contig00347
Acat_scaffold0348	Contig00348
Acat_scaffold0349	Contig00349
Acat_scaffold0350	Contig00350
Acat_scaffold0351	Contig00351
Acat_scaffold0352	Contig00352
Acat_scaffold0353	Contig00353
Acat_scaffold0354	Contig00354
Acat_scaffold0355	Contig00355
Acat_scaffold0356	Contig00356
Acat_scaffold0357	Contig00357
Acat_scaffold0358	Contig00358
Acat_scaffold0359	Contig00359
Acat_scaffold0360	Contig00360
Acat_scaffold0361	Contig00361
Acat_scaffold0362	Contig00362
Acat_scaffold0363	Contig00363
Acat_scaffold0364	Contig00364
Acat_scaffold0365	Contig00365
Acat_scaffold0366	Contig00366
Acat_scaffold0367	Contig00367
Acat_scaffold0368	Contig00368
Acat_scaffold0369	Contig00369
Acat_scaffold0370	Contig00370
Acat_scaffold0371	Contig00371
Acat_scaffold0372	Contig00372
Acat_scaffold0373	Contig00373
Acat_scaffold0374	Contig00374
Acat_scaffold0375	Contig00375
Acat_scaffold0376	Contig00376
Acat_scaffold0377	Contig00377
Acat_scaffold0378	Contig00378
Acat_scaffold0379	Contig00379
Acat_scaffold0380	Contig00380
Acat_scaffold0381	Contig00381
Acat_scaffold0382	Contig00382
Acat_scaffold0383	Contig00383
Acat_scaffold0384	Contig00384
Acat_scaffold0385	Contig00385
Acat_scaffold0386	Contig00386
Acat_scaffold0387	Contig00387
Acat_scaffold0388	Contig00388
Acat_scaffold0389	Contig00389
Acat_scaffold0390	Contig00390
Acat_scaffold0391	Contig00391
Acat_scaffold0392	Contig00392
Acat_scaffold0393	Contig00393
Acat_scaffold0394	Contig00394
Acat_scaffold0395	Contig00395
Acat_scaffold0396	Contig00396
Acat_scaffold0397	Contig00397
Acat_scaffold0398	Contig00398
Acat_scaffold0399	Contig00399
Acat_scaffold0400	Contig00400
Acat_scaffold0401	Contig00401
Acat_scaffold0402	Contig00402
Acat_scaffold0403	Contig00403
Acat_scaffold0404	Contig00404
Acat_scaffold0405	Contig00405
Acat_scaffold0406	Contig00406
Acat_scaffold0407	Contig00407
Acat_scaffold0408	Contig00408
Acat_scaffold0409	Contig00409
Acat_scaffold0410	Contig00410
Acat_scaffold0411	Contig00411
Acat_scaffold0412	Contig00412
Acat_scaffold0413	Contig00413
Acat_scaffold0414	Contig00414
Acat_scaffold0415	Contig00415
Acat_scaffold0416	Contig00416
Acat_scaffold0417	Contig00417
Acat_scaffold0418	Contig00418
Acat_scaffold0419	Contig00419
Acat_scaffold0420	Contig00420
Acat_scaffold0421	Contig00421
Acat_scaffold0422	Contig00422
Acat_scaffold0423	Contig00423
Acat_scaffold0424	Contig00424
Acat_scaffold0425	Contig00425
Acat_scaffold0426	Contig00426
Acat_scaffold0427	Contig00427
Acat_scaffold0428	Contig00428
Acat_scaffold0429	Contig00429
Acat_scaffold0430	Contig00430
Acat_scaffold0431	Contig00431
Acat_scaffold0432	Contig00432
Acat_scaffold0433	Contig00433
Acat_scaffold0434	Contig00434
Acat_scaffold0435	Contig00435
Acat_scaffold0436	Contig00436
Acat_scaffold0437	Contig00437
Acat_scaffold0438	Contig00438
Acat_scaffold0439	Contig00439
Acat_scaffold0440	Contig00440
Acat_scaffold0441	Contig00441
Acat_scaffold0442	Contig00442
Acat_scaffold0443	Contig00443
Acat_scaffold0444	Contig00444
Acat_scaffold0445	Contig00445
Acat_scaffold0446	Contig00446
Acat_scaffold0447	Contig00447
Acat_scaffold0448	Contig00448
Acat_scaffold0449	Contig00449
Acat_scaffold0450	Contig00450
Acat_scaffold0451	Contig00451
Acat_scaffold0452	Contig00452
Acat_scaffold0453	Contig00453
Acat_scaffold0454	Contig00454
Acat_scaffold0455	Contig00455
Acat_scaffold0456	Contig00456
Acat_scaffold0457	Contig00457
Acat_scaffold0458	Contig00458
Acat_scaffold0459	Contig00459
Acat_scaffold0460	Contig00460
Acat_scaffold0461	Contig00461
Acat_scaffold0462	Contig00462
Acat_scaffold0463	Contig00463
Acat_scaffold0464	Contig00464
Acat_scaffold0465	Contig00465
Acat_scaffold0466	Contig00466
Acat_scaffold0467	Contig00467
Acat_scaffold0468	Contig00468
Acat_scaffold0469	Contig00469
Acat_scaffold0470	Contig00470
Acat_scaffold0471	Contig00471
Acat_scaffold0472	Contig00472
Acat_scaffold0473	Contig00473
Acat_scaffold0474	Contig00474
Acat_scaffold0475	Contig00475
Acat_scaffold0476	Contig00476
Acat_scaffold0477	Contig00477
Acat_scaffold0478	Contig00478
Acat_scaffold0479	Contig00479
Acat_scaffold0480	Contig00480
Acat_scaffold0481	Contig00481
Acat_scaffold0482	Contig00482
Acat_scaffold0483	Contig00483
Acat_scaffold0484	Contig00484
Acat_scaffold0485	Contig00485
Acat_scaffold0486	Contig00486
Acat_scaffold0487	Contig00487
Acat_scaffold0488	Contig00488
Acat_scaffold0489	Contig00489
Acat_scaffold0490	Contig00490
Acat_scaffold0491	Contig00491
Acat_scaffold0492	Contig00492
Acat_scaffold0493	Contig00493
Acat_scaffold0494	Contig00494
Acat_scaffold0495	Contig00495
Acat_scaffold0496	Contig00496
Acat_scaffold0497	Contig00497
Acat_scaffold0498	Contig00498
Acat_scaffold0499	Contig00499
Acat_scaffold0500	Contig00500
Acat_scaffold0501	Contig00501
Acat_scaffold0502	Contig00502
Acat_scaffold0503	Contig00503
Acat_scaffold0504	Contig00504
Acat_scaffold0505	Contig00505
Acat_scaffold0506	Contig00506
Acat_scaffold0507	Contig00507
Acat_scaffold0508	Contig00508
Acat_scaffold0509	Contig00509
Acat_scaffold0510	Contig00510
Acat_scaffold0511	Contig00511
Acat_scaffold0512	Contig00512
Acat_scaffold0513	Contig00513
Acat_scaffold0514	Contig00514
Acat_scaffold0515	Contig00515
Acat_scaffold0516	Contig00516
Acat_scaffold0517	Contig00517
Acat_scaffold0518	Contig00518
Acat_scaffold0519	Contig00519
Acat_scaffold0520	Contig00520
Acat_scaffold0521	Contig00521
Acat_scaffold0522	Contig00522
Acat_scaffold0523	Contig00523
Acat_scaffold0524	Contig00524
Acat_scaffold0525	Contig00525
Acat_scaffold0526	Contig00526
Acat_scaffold0527	Contig00527
Acat_scaffold0528	Contig00528
Acat_scaffold0529	Contig00529
