Apal01G000010	A.palmatum_LG01_G00001
Apal01G000020	A.palmatum_LG01_G00002
Apal01G000030	A.palmatum_LG01_G00003
Apal01G000040	A.palmatum_LG01_G00005
Apal01G000050	A.palmatum_LG01_G00006
Apal01G000060	A.palmatum_LG01_G00007
Apal01G000070	A.palmatum_LG01_G00008
Apal01G000080	A.palmatum_LG01_G00009
Apal01G000090	A.palmatum_LG01_G00010
Apal01G000100	A.palmatum_LG01_G00011
Apal01G000110	A.palmatum_LG01_G00012
Apal01G000120	A.palmatum_LG01_G00013
Apal01G000130	A.palmatum_LG01_G00015
Apal01G000140	A.palmatum_LG01_G00016
Apal01G000150	A.palmatum_LG01_G00017
Apal01G000160	A.palmatum_LG01_G00018
Apal01G000170	A.palmatum_LG01_G00019
Apal01G000180	A.palmatum_LG01_G00020
Apal01G000190	A.palmatum_LG01_G00021
Apal01G000200	A.palmatum_LG01_G00022
Apal01G000210	A.palmatum_LG01_G00023
Apal01G000220	A.palmatum_LG01_G00024
Apal01G000230	A.palmatum_LG01_G00025
Apal01G000240	A.palmatum_LG01_G00026
Apal01G000250	A.palmatum_LG01_G00027
Apal01G000260	A.palmatum_LG01_G00028
Apal01G000270	A.palmatum_LG01_G00029
Apal01G000280	A.palmatum_LG01_G00030
Apal01G000290	A.palmatum_LG01_G00031
Apal01G000300	A.palmatum_LG01_G00032
Apal01G000310	A.palmatum_LG01_G00033
Apal01G000320	A.palmatum_LG01_G00034
Apal01G000330	A.palmatum_LG01_G00035
Apal01G000340	A.palmatum_LG01_G00036
Apal01G000350	A.palmatum_LG01_G00037
Apal01G000360	A.palmatum_LG01_G00038
Apal01G000370	A.palmatum_LG01_G00039
Apal01G000380	A.palmatum_LG01_G00040
Apal01G000390	A.palmatum_LG01_G00041
Apal01G000400	A.palmatum_LG01_G00042
Apal01G000410	A.palmatum_LG01_G00043
Apal01G000420	A.palmatum_LG01_G00044
Apal01G000430	A.palmatum_LG01_G00045
Apal01G000440	A.palmatum_LG01_G00046
Apal01G000450	A.palmatum_LG01_G00047
Apal01G000460	A.palmatum_LG01_G00048
Apal01G000470	A.palmatum_LG01_G00049
Apal01G000480	A.palmatum_LG01_G00050
Apal01G000490	A.palmatum_LG01_G00051
Apal01G000500	A.palmatum_LG01_G00052
Apal01G000510	A.palmatum_LG01_G00054
Apal01G000520	A.palmatum_LG01_G00055
Apal01G000530	A.palmatum_LG01_G00056
Apal01G000540	A.palmatum_LG01_G00057
Apal01G000550	A.palmatum_LG01_G00058
Apal01G000560	A.palmatum_LG01_G00059
Apal01G000570	A.palmatum_LG01_G00060
Apal01G000580	A.palmatum_LG01_G00061
Apal01G000590	A.palmatum_LG01_G00062
Apal01G000600	A.palmatum_LG01_G00063
Apal01G000610	A.palmatum_LG01_G00064
Apal01G000620	A.palmatum_LG01_G00065
Apal01G000630	A.palmatum_LG01_G00066
Apal01G000640	A.palmatum_LG01_G00067
Apal01G000650	A.palmatum_LG01_G00068
Apal01G000660	A.palmatum_LG01_G00069
Apal01G000670	A.palmatum_LG01_G00070
Apal01G000680	A.palmatum_LG01_G00071
Apal01G000690	A.palmatum_LG01_G00072
Apal01G000700	A.palmatum_LG01_G00073
Apal01G000710	A.palmatum_LG01_G00074
Apal01G000720	A.palmatum_LG01_G00075
Apal01G000730	A.palmatum_LG01_G00076
Apal01G000740	A.palmatum_LG01_G00077
Apal01G000750	A.palmatum_LG01_G00078
Apal01G000760	A.palmatum_LG01_G00079
Apal01G000770	A.palmatum_LG01_G00080
Apal01G000780	A.palmatum_LG01_G00081
Apal01G000790	A.palmatum_LG01_G00082
Apal01G000800	A.palmatum_LG01_G00083
Apal01G000810	A.palmatum_LG01_G00084
Apal01G000820	A.palmatum_LG01_G00085
Apal01G000830	A.palmatum_LG01_G00086
Apal01G000840	A.palmatum_LG01_G00087
Apal01G000850	A.palmatum_LG01_G00088
Apal01G000860	A.palmatum_LG01_G00089
Apal01G000870	A.palmatum_LG01_G00090
Apal01G000880	A.palmatum_LG01_G00091
Apal01G000890	A.palmatum_LG01_G00092
Apal01G000900	A.palmatum_LG01_G00093
Apal01G000910	A.palmatum_LG01_G00094
Apal01G000920	A.palmatum_LG01_G00095
Apal01G000930	A.palmatum_LG01_G00096
Apal01G000940	A.palmatum_LG01_G00097
Apal01G000950	A.palmatum_LG01_G00098
Apal01G000960	A.palmatum_LG01_G00099
Apal01G000970	A.palmatum_LG01_G00100
Apal01G000980	A.palmatum_LG01_G00101
Apal01G000990	A.palmatum_LG01_G00102
Apal01G001000	A.palmatum_LG01_G00103
Apal01G001010	A.palmatum_LG01_G00104
Apal01G001020	A.palmatum_LG01_G00105
Apal01G001030	A.palmatum_LG01_G00106
Apal01G001040	A.palmatum_LG01_G00107
Apal01G001050	A.palmatum_LG01_G00108
Apal01G001060	A.palmatum_LG01_G00109
Apal01G001070	A.palmatum_LG01_G00110
Apal01G001080	A.palmatum_LG01_G00111
Apal01G001090	A.palmatum_LG01_G00113
Apal01G001100	A.palmatum_LG01_G00114
Apal01G001110	A.palmatum_LG01_G00115
Apal01G001120	A.palmatum_LG01_G00116
Apal01G001130	A.palmatum_LG01_G00117
Apal01G001140	A.palmatum_LG01_G00118
Apal01G001150	A.palmatum_LG01_G00119
Apal01G001160	A.palmatum_LG01_G00121
Apal01G001170	A.palmatum_LG01_G00122
Apal01G001180	A.palmatum_LG01_G00123
Apal01G001190	A.palmatum_LG01_G00124
Apal01G001200	A.palmatum_LG01_G00125
Apal01G001210	A.palmatum_LG01_G00126
Apal01G001220	A.palmatum_LG01_G00127
Apal01G001230	A.palmatum_LG01_G00128
Apal01G001240	A.palmatum_LG01_G00129
Apal01G001250	A.palmatum_LG01_G00130
Apal01G001260	A.palmatum_LG01_G00131
Apal01G001270	A.palmatum_LG01_G00132
Apal01G001280	A.palmatum_LG01_G00133
Apal01G001290	A.palmatum_LG01_G00134
Apal01G001300	A.palmatum_LG01_G00135
Apal01G001310	A.palmatum_LG01_G00136
Apal01G001320	A.palmatum_LG01_G00137
Apal01G001330	A.palmatum_LG01_G00138
Apal01G001340	A.palmatum_LG01_G00139
Apal01G001350	A.palmatum_LG01_G00140
Apal01G001360	A.palmatum_LG01_G00141
Apal01G001370	A.palmatum_LG01_G00142
Apal01G001380	A.palmatum_LG01_G00143
Apal01G001390	A.palmatum_LG01_G00144
Apal01G001400	A.palmatum_LG01_G00145
Apal01G001410	A.palmatum_LG01_G00147
Apal01G001420	A.palmatum_LG01_G00148
Apal01G001430	A.palmatum_LG01_G00149
Apal01G001440	A.palmatum_LG01_G00150
Apal01G001450	A.palmatum_LG01_G00151
Apal01G001460	A.palmatum_LG01_G00152
Apal01G001470	A.palmatum_LG01_G00153
Apal01G001480	A.palmatum_LG01_G00154
Apal01G001490	A.palmatum_LG01_G00155
Apal01G001500	A.palmatum_LG01_G00156
Apal01G001510	A.palmatum_LG01_G00157
Apal01G001520	A.palmatum_LG01_G00158
Apal01G001530	A.palmatum_LG01_G00159
Apal01G001540	A.palmatum_LG01_G00160
Apal01G001550	A.palmatum_LG01_G00161
Apal01G001560	A.palmatum_LG01_G00162
Apal01G001570	A.palmatum_LG01_G00163
Apal01G001580	A.palmatum_LG01_G00164
Apal01G001590	A.palmatum_LG01_G00165
Apal01G001600	A.palmatum_LG01_G00166
Apal01G001610	A.palmatum_LG01_G00167
