Apal010S000010.1	A.palmatum_Contig10_G00001.t1
Apal010S000020.1	A.palmatum_Contig10_G00002.t1
Apal010S000030.1	A.palmatum_Contig10_G00003.t1
Apal010S000040.1	A.palmatum_Contig10_G00004.t1
Apal010S000050.1	A.palmatum_Contig10_G00005.t1
Apal010S000060.1	A.palmatum_Contig10_G00006.t1
Apal010S000070.1	A.palmatum_Contig10_G00007.t1
Apal010S000080.1	A.palmatum_Contig10_G00008.t1
Apal010S000090.1	A.palmatum_Contig10_G00009.t1
Apal010S000100.1	A.palmatum_Contig10_G00010.t1
Apal010S000110.1	A.palmatum_Contig10_G00011.t1
Apal010S000120.1	A.palmatum_Contig10_G00012.t1
Apal011S000010.1	A.palmatum_Contig11_G00001.t1
Apal011S000020.1	A.palmatum_Contig11_G00002.t1
Apal011S000030.1	A.palmatum_Contig11_G00003.t1
Apal011S000040.1	A.palmatum_Contig11_G00004.t1
Apal011S000050.1	A.palmatum_Contig11_G00005.t1
Apal011S000060.1	A.palmatum_Contig11_G00006.t1
Apal011S000070.1	A.palmatum_Contig11_G00007.t1
Apal011S000080.1	A.palmatum_Contig11_G00008.t1
Apal011S000090.1	A.palmatum_Contig11_G00009.t1
Apal011S000100.1	A.palmatum_Contig11_G00010.t1
Apal011S000110.1	A.palmatum_Contig11_G00011.t1
Apal012S000010.1	A.palmatum_Contig12_G00001.t1
Apal012S000020.1	A.palmatum_Contig12_G00002.t1
Apal012S000030.1	A.palmatum_Contig12_G00003.t1
Apal012S000040.1	A.palmatum_Contig12_G00004.t1
Apal012S000050.1	A.palmatum_Contig12_G00005.t1
Apal012S000060.1	A.palmatum_Contig12_G00006.t1
Apal012S000070.1	A.palmatum_Contig12_G00007.t1
Apal012S000080.1	A.palmatum_Contig12_G00008.t1
Apal012S000090.1	A.palmatum_Contig12_G00009.t1
Apal012S000100.1	A.palmatum_Contig12_G00010.t1
Apal012S000110.1	A.palmatum_Contig12_G00011.t1
Apal012S000120.1	A.palmatum_Contig12_G00012.t1
Apal012S000130.1	A.palmatum_Contig12_G00013.t1
Apal012S000140.1	A.palmatum_Contig12_G00014.t1
Apal012S000150.1	A.palmatum_Contig12_G00015.t1
Apal012S000160.1	A.palmatum_Contig12_G00016.t1
Apal012S000170.1	A.palmatum_Contig12_G00018.t1
Apal012S000180.1	A.palmatum_Contig12_G00019.t1
Apal012S000190.1	A.palmatum_Contig12_G00021.t1
Apal012S000200.1	A.palmatum_Contig12_G00022.t1
Apal012S000210.1	A.palmatum_Contig12_G00023.t1
Apal013S000010.1	A.palmatum_Contig13_G00001.t1
Apal013S000020.1	A.palmatum_Contig13_G00002.t1
Apal013S000030.1	A.palmatum_Contig13_G00003.t1
Apal013S000040.1	A.palmatum_Contig13_G00004.t1
Apal013S000050.1	A.palmatum_Contig13_G00005.t1
Apal013S000060.1	A.palmatum_Contig13_G00006.t1
Apal013S000070.1	A.palmatum_Contig13_G00007.t1
Apal013S000080.1	A.palmatum_Contig13_G00008.t1
Apal013S000090.1	A.palmatum_Contig13_G00009.t1
Apal013S000100.1	A.palmatum_Contig13_G00010.t1
Apal013S000110.1	A.palmatum_Contig13_G00011.t1
Apal013S000120.1	A.palmatum_Contig13_G00012.t1
Apal013S000130.1	A.palmatum_Contig13_G00013.t1
Apal013S000140.1	A.palmatum_Contig13_G00014.t1
Apal013S000150.1	A.palmatum_Contig13_G00015.t1
Apal013S000160.1	A.palmatum_Contig13_G00016.t1
Apal013S000170.1	A.palmatum_Contig13_G00017.t1
Apal013S000180.1	A.palmatum_Contig13_G00018.t1
Apal013S000190.1	A.palmatum_Contig13_G00019.t1
Apal013S000200.1	A.palmatum_Contig13_G00020.t1
Apal013S000210.1	A.palmatum_Contig13_G00021.t1
Apal013S000220.1	A.palmatum_Contig13_G00022.t1
