Apal_scaffold001	Contig1
Apal_scaffold010	Contig10
Apal_scaffold011	Contig11
Apal_scaffold012	Contig12
Apal_scaffold013	Contig13
Apal_scaffold014	Contig14
Apal_scaffold015	Contig15
Apal_scaffold016	Contig16
Apal_scaffold017	Contig17
Apal_scaffold018	Contig18
Apal_scaffold019	Contig19
Apal_scaffold002	Contig2
Apal_scaffold020	Contig20
Apal_scaffold021	Contig21
Apal_scaffold022	Contig22
Apal_scaffold023	Contig23
Apal_scaffold024	Contig24
Apal_scaffold025	Contig25
Apal_scaffold026	Contig26
Apal_scaffold027	Contig27
Apal_scaffold028	Contig28
Apal_scaffold029	Contig29
Apal_scaffold003	Contig3
Apal_scaffold030	Contig30
Apal_scaffold031	Contig31
Apal_scaffold032	Contig32
Apal_scaffold033	Contig33
Apal_scaffold034	Contig34
Apal_scaffold035	Contig35
Apal_scaffold036	Contig36
Apal_scaffold037	Contig37
Apal_scaffold038	Contig38
Apal_scaffold039	Contig39
Apal_scaffold004	Contig4
Apal_scaffold040	Contig40
Apal_scaffold041	Contig41
Apal_scaffold042	Contig42
Apal_scaffold043	Contig43
Apal_scaffold044	Contig44
Apal_scaffold045	Contig45
Apal_scaffold046	Contig46
Apal_scaffold047	Contig47
Apal_scaffold048	Contig48
Apal_scaffold049	Contig49
Apal_scaffold005	Contig5
Apal_scaffold006	Contig6
Apal_scaffold007	Contig7
Apal_scaffold008	Contig8
Apal_scaffold009	Contig9
Apal01	LG01
Apal02	LG02
Apal03	LG03
Apal04	LG04
Apal05	LG05
Apal06	LG06
Apal07	LG07
Apal08	LG08
Apal09	LG09
Apal10	LG10
Apal11	LG11
Apal12	LG12
Apal13	LG13
