Ayan01G000010	Acyan01G0000100
Ayan01G000020	Acyan01G0000200
Ayan01G000030	Acyan01G0000300
Ayan01G000040	Acyan01G0000400
Ayan01G000050	Acyan01G0000500
Ayan01G000060	Acyan01G0000600
Ayan01G000070	Acyan01G0000700
Ayan01G000080	Acyan01G0000800
Ayan01G000090	Acyan01G0000900
Ayan01G000100	Acyan01G0001000
Ayan01G000110	Acyan01G0001100
Ayan01G000120	Acyan01G0001200
Ayan01G000130	Acyan01G0001300
Ayan01G000140	Acyan01G0001400
Ayan01G000150	Acyan01G0001500
Ayan01G000160	Acyan01G0001600
Ayan01G000170	Acyan01G0001700
Ayan01G000180	Acyan01G0001800
Ayan01G000190	Acyan01G0001900
Ayan01G000200	Acyan01G0002000
Ayan01G000210	Acyan01G0002100
Ayan01G000220	Acyan01G0002200
Ayan01G000230	Acyan01G0002300
Ayan01G000240	Acyan01G0002400
Ayan01G000250	Acyan01G0002500
Ayan01G000260	Acyan01G0002600
Ayan01G000270	Acyan01G0002700
Ayan01G000280	Acyan01G0002800
Ayan01G000290	Acyan01G0002900
Ayan01G000300	Acyan01G0003000
Ayan01G000310	Acyan01G0003100
Ayan01G000320	Acyan01G0003200
Ayan01G000330	Acyan01G0003300
Ayan01G000340	Acyan01G0003400
Ayan01G000350	Acyan01G0003500
Ayan01G000360	Acyan01G0003600
Ayan01G000370	Acyan01G0003700
Ayan01G000380	Acyan01G0003800
Ayan01G000390	Acyan01G0003900
Ayan01G000400	Acyan01G0004000
Ayan01G000410	Acyan01G0004100
Ayan01G000420	Acyan01G0004200
Ayan01G000430	Acyan01G0004300
Ayan01G000440	Acyan01G0004400
Ayan01G000450	Acyan01G0004500
Ayan01G000460	Acyan01G0004600
Ayan01G000470	Acyan01G0004700
Ayan01G000480	Acyan01G0004800
Ayan01G000490	Acyan01G0004900
Ayan01G000500	Acyan01G0005000
Ayan01G000510	Acyan01G0005100
Ayan01G000520	Acyan01G0005200
Ayan01G000530	Acyan01G0005300
Ayan01G000540	Acyan01G0005400
Ayan01G000550	Acyan01G0005500
Ayan01G000560	Acyan01G0005600
Ayan01G000570	Acyan01G0005700
Ayan01G000580	Acyan01G0005800
Ayan01G000590	Acyan01G0005900
Ayan01G000600	Acyan01G0006000
Ayan01G000610	Acyan01G0006100
