Ddye01G000010	evm.TU.HIC_ASM_0.1
Ddye01G000020	evm.TU.HIC_ASM_0.2
Ddye01G000030	evm.TU.HIC_ASM_0.3
Ddye01G000040	evm.TU.HIC_ASM_0.4
Ddye01G000050	evm.TU.HIC_ASM_0.5
Ddye01G000060	evm.TU.HIC_ASM_0.7
Ddye01G000070	evm.TU.HIC_ASM_0.10
Ddye01G000080	evm.TU.HIC_ASM_0.11
Ddye01G000090	evm.TU.HIC_ASM_0.12
Ddye01G000100	evm.TU.HIC_ASM_0.13
Ddye01G000110	evm.TU.HIC_ASM_0.14
Ddye01G000120	evm.TU.HIC_ASM_0.16
Ddye01G000130	evm.TU.HIC_ASM_0.17
Ddye01G000140	evm.TU.HIC_ASM_0.18
Ddye01G000150	evm.TU.HIC_ASM_0.20
Ddye01G000160	evm.TU.HIC_ASM_0.21
Ddye01G000170	evm.TU.HIC_ASM_0.22_evm.TU.HIC_ASM_0.23
Ddye01G000180	evm.TU.HIC_ASM_0.24_evm.TU.HIC_ASM_0.26
Ddye01G000190	evm.TU.HIC_ASM_0.25
Ddye01G000200	evm.TU.HIC_ASM_0.27
Ddye01G000210	evm.TU.HIC_ASM_0.28
Ddye01G000220	evm.TU.HIC_ASM_0.29
Ddye01G000230	evm.TU.HIC_ASM_0.31
Ddye01G000240	evm.TU.HIC_ASM_0.32
Ddye01G000250	evm.TU.HIC_ASM_0.34
Ddye01G000260	evm.TU.HIC_ASM_0.35
Ddye01G000270	evm.TU.HIC_ASM_0.37
Ddye01G000280	evm.TU.HIC_ASM_0.38
Ddye01G000290	evm.TU.HIC_ASM_0.39
Ddye01G000300	evm.TU.HIC_ASM_0.40
Ddye01G000310	evm.TU.HIC_ASM_0.41
Ddye01G000320	evm.TU.HIC_ASM_0.42
Ddye01G000330	evm.TU.HIC_ASM_0.43
Ddye01G000340	evm.TU.HIC_ASM_0.44
Ddye01G000350	evm.TU.HIC_ASM_0.45
Ddye01G000360	evm.TU.HIC_ASM_0.47
Ddye01G000370	evm.TU.HIC_ASM_0.49
Ddye01G000380	evm.TU.HIC_ASM_0.50
Ddye01G000390	evm.TU.HIC_ASM_0.51
Ddye01G000400	evm.TU.HIC_ASM_0.55
Ddye01G000410	evm.TU.HIC_ASM_0.57
Ddye01G000420	evm.TU.HIC_ASM_0.59
Ddye01G000430	evm.TU.HIC_ASM_0.60
Ddye01G000440	evm.TU.HIC_ASM_0.61
Ddye01G000450	evm.TU.HIC_ASM_0.62
Ddye01G000460	evm.TU.HIC_ASM_0.63
Ddye01G000470	evm.TU.HIC_ASM_0.66
Ddye01G000480	evm.TU.HIC_ASM_0.67
Ddye01G000490	evm.TU.HIC_ASM_0.68
Ddye01G000500	evm.TU.HIC_ASM_0.73
Ddye01G000510	evm.TU.HIC_ASM_0.74
Ddye01G000520	evm.TU.HIC_ASM_0.75
Ddye01G000530	evm.TU.HIC_ASM_0.76
Ddye01G000540	evm.TU.HIC_ASM_0.77
Ddye01G000550	evm.TU.HIC_ASM_0.78
Ddye01G000560	evm.TU.HIC_ASM_0.79
Ddye01G000570	evm.TU.HIC_ASM_0.81
Ddye01G000580	evm.TU.HIC_ASM_0.83
Ddye01G000590	evm.TU.HIC_ASM_0.84
Ddye01G000600	evm.TU.HIC_ASM_0.85
Ddye01G000610	evm.TU.HIC_ASM_0.86_evm.TU.HIC_ASM_0.87
Ddye01G000620	evm.TU.HIC_ASM_0.88
Ddye01G000630	evm.TU.HIC_ASM_0.89
Ddye01G000640	evm.TU.HIC_ASM_0.90
Ddye01G000650	evm.TU.HIC_ASM_0.97_evm.TU.HIC_ASM_0.98
