Ddye01	HIC_ASM_0
Ddye02	HIC_ASM_1
Ddye03	HIC_ASM_2
Ddye04	HIC_ASM_3
Ddye05	HIC_ASM_4
Ddye06	HIC_ASM_5
Ddye07	HIC_ASM_6
Ddye08	HIC_ASM_7
Ddye09	HIC_ASM_8
Ddye_scaffold001	ORIGINAL_SCAFFOLD_101
Ddye_scaffold002	ORIGINAL_SCAFFOLD_104
Ddye_scaffold003	ORIGINAL_SCAFFOLD_106
Ddye_scaffold004	ORIGINAL_SCAFFOLD_110
Ddye_scaffold005	ORIGINAL_SCAFFOLD_111
Ddye_scaffold006	ORIGINAL_SCAFFOLD_113
Ddye_scaffold007	ORIGINAL_SCAFFOLD_129
Ddye_scaffold008	ORIGINAL_SCAFFOLD_13
Ddye_scaffold009	ORIGINAL_SCAFFOLD_131
Ddye_scaffold010	ORIGINAL_SCAFFOLD_132
Ddye_scaffold011	ORIGINAL_SCAFFOLD_145
Ddye_scaffold012	ORIGINAL_SCAFFOLD_148
Ddye_scaffold013	ORIGINAL_SCAFFOLD_15
Ddye_scaffold014	ORIGINAL_SCAFFOLD_158
Ddye_scaffold015	ORIGINAL_SCAFFOLD_177
Ddye_scaffold016	ORIGINAL_SCAFFOLD_188
Ddye_scaffold017	ORIGINAL_SCAFFOLD_191
Ddye_scaffold018	ORIGINAL_SCAFFOLD_202
Ddye_scaffold019	ORIGINAL_SCAFFOLD_206
Ddye_scaffold020	ORIGINAL_SCAFFOLD_219
Ddye_scaffold021	ORIGINAL_SCAFFOLD_220
Ddye_scaffold022	ORIGINAL_SCAFFOLD_225
Ddye_scaffold023	ORIGINAL_SCAFFOLD_232
Ddye_scaffold024	ORIGINAL_SCAFFOLD_233
Ddye_scaffold025	ORIGINAL_SCAFFOLD_234
Ddye_scaffold026	ORIGINAL_SCAFFOLD_250
Ddye_scaffold027	ORIGINAL_SCAFFOLD_255
Ddye_scaffold028	ORIGINAL_SCAFFOLD_256
Ddye_scaffold029	ORIGINAL_SCAFFOLD_260
Ddye_scaffold030	ORIGINAL_SCAFFOLD_268
Ddye_scaffold031	ORIGINAL_SCAFFOLD_274
Ddye_scaffold032	ORIGINAL_SCAFFOLD_290
Ddye_scaffold033	ORIGINAL_SCAFFOLD_293
Ddye_scaffold034	ORIGINAL_SCAFFOLD_297
Ddye_scaffold035	ORIGINAL_SCAFFOLD_309
Ddye_scaffold036	ORIGINAL_SCAFFOLD_314
Ddye_scaffold037	ORIGINAL_SCAFFOLD_318
Ddye_scaffold038	ORIGINAL_SCAFFOLD_327
Ddye_scaffold039	ORIGINAL_SCAFFOLD_333
Ddye_scaffold040	ORIGINAL_SCAFFOLD_345
Ddye_scaffold041	ORIGINAL_SCAFFOLD_346
Ddye_scaffold042	ORIGINAL_SCAFFOLD_349
Ddye_scaffold043	ORIGINAL_SCAFFOLD_361
Ddye_scaffold044	ORIGINAL_SCAFFOLD_368
Ddye_scaffold045	ORIGINAL_SCAFFOLD_375
Ddye_scaffold046	ORIGINAL_SCAFFOLD_376
Ddye_scaffold047	ORIGINAL_SCAFFOLD_377
Ddye_scaffold048	ORIGINAL_SCAFFOLD_38
Ddye_scaffold049	ORIGINAL_SCAFFOLD_380
Ddye_scaffold050	ORIGINAL_SCAFFOLD_39
Ddye_scaffold051	ORIGINAL_SCAFFOLD_391
Ddye_scaffold052	ORIGINAL_SCAFFOLD_412
Ddye_scaffold053	ORIGINAL_SCAFFOLD_415
Ddye_scaffold054	ORIGINAL_SCAFFOLD_419
Ddye_scaffold055	ORIGINAL_SCAFFOLD_423
Ddye_scaffold056	ORIGINAL_SCAFFOLD_424
Ddye_scaffold057	ORIGINAL_SCAFFOLD_432
Ddye_scaffold058	ORIGINAL_SCAFFOLD_434
Ddye_scaffold059	ORIGINAL_SCAFFOLD_438
Ddye_scaffold060	ORIGINAL_SCAFFOLD_448
Ddye_scaffold061	ORIGINAL_SCAFFOLD_457
Ddye_scaffold062	ORIGINAL_SCAFFOLD_46
Ddye_scaffold063	ORIGINAL_SCAFFOLD_462
Ddye_scaffold064	ORIGINAL_SCAFFOLD_464
Ddye_scaffold065	ORIGINAL_SCAFFOLD_469
Ddye_scaffold066	ORIGINAL_SCAFFOLD_476
Ddye_scaffold067	ORIGINAL_SCAFFOLD_478
Ddye_scaffold068	ORIGINAL_SCAFFOLD_479
Ddye_scaffold069	ORIGINAL_SCAFFOLD_488
Ddye_scaffold070	ORIGINAL_SCAFFOLD_498
Ddye_scaffold071	ORIGINAL_SCAFFOLD_51
Ddye_scaffold072	ORIGINAL_SCAFFOLD_63
Ddye_scaffold073	ORIGINAL_SCAFFOLD_69
Ddye_scaffold074	ORIGINAL_SCAFFOLD_72
Ddye_scaffold075	ORIGINAL_SCAFFOLD_74
Ddye_scaffold076	ORIGINAL_SCAFFOLD_77
Ddye_scaffold077	ORIGINAL_SCAFFOLD_84
Ddye_scaffold078	ORIGINAL_SCAFFOLD_87
Ddye_scaffold079	ORIGINAL_SCAFFOLD_92
Ddye_scaffold080	ORIGINAL_SCAFFOLD_94
Ddye_scaffold081	ORIGINAL_SCAFFOLD_98
