Dsin_scaffold001	FRAGSCAFF_SCAFFOLD_100
Dsin_scaffold002	FRAGSCAFF_SCAFFOLD_102
Dsin_scaffold003	FRAGSCAFF_SCAFFOLD_103_2
Dsin_scaffold004	FRAGSCAFF_SCAFFOLD_106
Dsin_scaffold005	FRAGSCAFF_SCAFFOLD_108_1
Dsin_scaffold006	FRAGSCAFF_SCAFFOLD_108_10
Dsin_scaffold007	FRAGSCAFF_SCAFFOLD_108_2
Dsin_scaffold008	FRAGSCAFF_SCAFFOLD_108_3
Dsin_scaffold009	FRAGSCAFF_SCAFFOLD_108_4
Dsin_scaffold010	FRAGSCAFF_SCAFFOLD_108_6
Dsin_scaffold011	FRAGSCAFF_SCAFFOLD_108_8
Dsin_scaffold012	FRAGSCAFF_SCAFFOLD_111_2
Dsin_scaffold013	FRAGSCAFF_SCAFFOLD_114
Dsin_scaffold014	FRAGSCAFF_SCAFFOLD_2
Dsin_scaffold015	FRAGSCAFF_SCAFFOLD_20
Dsin_scaffold016	FRAGSCAFF_SCAFFOLD_23_1
Dsin_scaffold017	FRAGSCAFF_SCAFFOLD_23_2
Dsin_scaffold018	FRAGSCAFF_SCAFFOLD_23_3
Dsin_scaffold019	FRAGSCAFF_SCAFFOLD_26
Dsin_scaffold020	FRAGSCAFF_SCAFFOLD_27
Dsin_scaffold021	FRAGSCAFF_SCAFFOLD_28_1
Dsin_scaffold022	FRAGSCAFF_SCAFFOLD_32_4
Dsin_scaffold023	FRAGSCAFF_SCAFFOLD_32_5
Dsin_scaffold024	FRAGSCAFF_SCAFFOLD_41
Dsin_scaffold025	FRAGSCAFF_SCAFFOLD_49_2
Dsin_scaffold026	FRAGSCAFF_SCAFFOLD_5
Dsin_scaffold027	FRAGSCAFF_SCAFFOLD_50
Dsin_scaffold028	FRAGSCAFF_SCAFFOLD_54
Dsin_scaffold029	FRAGSCAFF_SCAFFOLD_55
Dsin_scaffold030	FRAGSCAFF_SCAFFOLD_62
Dsin_scaffold031	FRAGSCAFF_SCAFFOLD_67
Dsin_scaffold032	FRAGSCAFF_SCAFFOLD_69_10
Dsin_scaffold033	FRAGSCAFF_SCAFFOLD_69_11
Dsin_scaffold034	FRAGSCAFF_SCAFFOLD_69_3
Dsin_scaffold035	FRAGSCAFF_SCAFFOLD_69_4
Dsin_scaffold036	FRAGSCAFF_SCAFFOLD_69_5
Dsin_scaffold037	FRAGSCAFF_SCAFFOLD_69_6
Dsin_scaffold038	FRAGSCAFF_SCAFFOLD_69_8
Dsin_scaffold039	FRAGSCAFF_SCAFFOLD_69_9
Dsin_scaffold040	FRAGSCAFF_SCAFFOLD_7
Dsin_scaffold041	FRAGSCAFF_SCAFFOLD_75
Dsin_scaffold042	FRAGSCAFF_SCAFFOLD_76
Dsin_scaffold043	FRAGSCAFF_SCAFFOLD_8
Dsin_scaffold044	FRAGSCAFF_SCAFFOLD_80_4
Dsin_scaffold045	FRAGSCAFF_SCAFFOLD_87_2
Dsin_scaffold046	FRAGSCAFF_SCAFFOLD_87_4
Dsin_scaffold047	FRAGSCAFF_SCAFFOLD_87_6
Dsin_scaffold048	FRAGSCAFF_SCAFFOLD_87_8
Dsin_scaffold049	FRAGSCAFF_SCAFFOLD_89
Dsin_scaffold050	FRAGSCAFF_SCAFFOLD_95_2
Dsin_scaffold051	FRAGSCAFF_SCAFFOLD_95_4
Dsin01	HIC_ASM_0
Dsin02	HIC_ASM_1
Dsin03	HIC_ASM_2
Dsin04	HIC_ASM_3
Dsin05	HIC_ASM_4
Dsin06	HIC_ASM_5
Dsin07	HIC_ASM_6
Dsin08	HIC_ASM_7
Dsin09	HIC_ASM_8
Dsin10	HIC_ASM_9
Dsin_scaffold052	ORIGINAL_SCAFFOLD_1000
Dsin_scaffold053	ORIGINAL_SCAFFOLD_1001
Dsin_scaffold054	ORIGINAL_SCAFFOLD_1002
