Aneg05G018740.1	ACNE_00001
Aneg11G019480.1	ACNE_00002
Aneg13G009390.1	ACNE_00003
Aneg03G002830.1	ACNE_00004
Aneg01G017180.1	ACNE_00005
Aneg01G008920.1	ACNE_00006
Aneg03G004240.1	ACNE_00007
Aneg10G012430.1	ACNE_00008
Aneg03G019730.1	ACNE_00009
Aneg02G006390.1	ACNE_00010
Aneg11G018130.1	ACNE_00011
Aneg13G017080.1	ACNE_00012
Aneg09G018310.1	ACNE_00013
Aneg03G017580.1	ACNE_00014
Aneg04G001030.1	ACNE_00015
Aneg05G008690.1	ACNE_00016
Aneg06G002310.1	ACNE_00017
Aneg09G015910.1	ACNE_00018
Aneg04G008760.1	ACNE_00019
Aneg07G017610.1	ACNE_00020
Aneg05G021580.1	ACNE_00021
Aneg10G007240.1	ACNE_00022
Aneg02G030320.1	ACNE_00023
Aneg02G006110.1	ACNE_00024
Aneg12G011680.1	ACNE_00025
Aneg02G018880.1	ACNE_00026
Aneg02G023180.1	ACNE_00027
Aneg13G009620.1	ACNE_00028
Aneg051S000010.1	ACNE_00029
Aneg05G022320.1	ACNE_00030
Aneg12G017550.1	ACNE_00031
Aneg03G019510.1	ACNE_00032
Aneg10G013420.1	ACNE_00033
Aneg11G005910.1	ACNE_00034
Aneg13G006090.1	ACNE_00035
Aneg04G008070.1	ACNE_00036
Aneg06G007310.1	ACNE_00037
Aneg04G004490.1	ACNE_00038
Aneg04G022570.1	ACNE_00039
Aneg01G029080.1	ACNE_00040
Aneg02G017190.1	ACNE_00041
Aneg02G025640.1	ACNE_00042
Aneg02G031670.1	ACNE_00043
Aneg02G004890.1	ACNE_00044
Aneg01G027960.1	ACNE_00045
Aneg12G015650.1	ACNE_00046
Aneg02G007590.1	ACNE_00047
Aneg06G008080.1	ACNE_00048
Aneg10G015150.1	ACNE_00049
Aneg03G027480.1	ACNE_00050
Aneg11G009080.1	ACNE_00051
Aneg05G019300.1	ACNE_00052
Aneg13G005140.1	ACNE_00053
Aneg01G014280.1	ACNE_00054
Aneg12G004720.1	ACNE_00055
Aneg02G002290.1	ACNE_00056
Aneg01G005110.1	ACNE_00057
Aneg02G016410.1	ACNE_00058
Aneg03G012970.1	ACNE_00059
Aneg03G002650.1	ACNE_00060
Aneg01G020450.1	ACNE_00061
Aneg040S000010.1	ACNE_00062
Aneg10G012540.1	ACNE_00063
Aneg08G014710.1	ACNE_00064
Aneg02G023560.1	ACNE_00065
Aneg05G016960.1	ACNE_00066
Aneg01G002520.1	ACNE_00067
Aneg13G015230.1	ACNE_00068
Aneg09G006400.1	ACNE_00069
Aneg01G030050.1	ACNE_00070
Aneg10G001090.1	ACNE_00071
Aneg07G000070.1	ACNE_00072
Aneg07G009110.1	ACNE_00073
