Acat01G000010	EVM0024352
Acat01G000020	EVM0007758
Acat01G000030	EVM0010103
Acat01G000040	EVM0002398
Acat01G000050	EVM0027878
Acat01G000060	EVM0009162
Acat01G000070	EVM0012878
Acat01G000080	EVM0014310
Acat01G000090	EVM0007894
Acat01G000100	EVM0033572
Acat01G000110	EVM0030800
Acat01G000120	EVM0028690
Acat01G000130	EVM0016520
Acat01G000140	EVM0003375
Acat01G000150	EVM0001298
Acat01G000160	EVM0014576
Acat01G000170	EVM0021158
Acat01G000180	EVM0011835
Acat01G000190	EVM0011435
Acat01G000200	EVM0024001
Acat01G000210	EVM0007093
Acat01G000220	EVM0003748
Acat01G000230	EVM0025635
Acat01G000240	EVM0026976
Acat01G000250	EVM0019468
Acat01G000260	EVM0025032
Acat01G000270	EVM0013705
Acat01G000280	EVM0000734
Acat01G000290	EVM0026163
Acat01G000300	EVM0029563
Acat01G000310	EVM0009321
Acat01G000320	EVM0020797
Acat01G000330	EVM0019631
Acat01G000340	EVM0015890
Acat01G000350	EVM0029627
Acat01G000360	EVM0026631
Acat01G000370	EVM0007077
Acat01G000380	EVM0006493
Acat01G000390	EVM0030360
Acat01G000400	EVM0021622
Acat01G000410	EVM0009912
Acat01G000420	EVM0030828
Acat01G000430	EVM0008684
Acat01G000440	EVM0028927
Acat01G000450	EVM0010592
Acat01G000460	EVM0006514
Acat01G000470	EVM0026115
Acat01G000480	EVM0011664
Acat01G000490	EVM0004175
Acat01G000500	EVM0022483
Acat01G000510	EVM0022998
Acat01G000520	EVM0014545
Acat01G000530	EVM0017306
Acat01G000540	EVM0018900
Acat01G000550	EVM0018742
Acat01G000560	EVM0006442
Acat01G000570	EVM0024573
Acat01G000580	EVM0003975
Acat01G000590	EVM0014853
Acat01G000600	EVM0031184
Acat01G000610	EVM0012162
Acat01G000620	EVM0011174
Acat01G000630	EVM0023235
Acat01G000640	EVM0016251
Acat01G000650	EVM0017914
Acat01G000660	EVM0032699
Acat01G000670	EVM0015982
Acat01G000680	EVM0028561
Acat01G000690	EVM0027646
Acat01G000700	EVM0028067
Acat01G000710	EVM0002328
Acat01G000720	EVM0010853
Acat01G000730	EVM0029842
Acat01G000740	EVM0033552
Acat01G000750	EVM0018286
Acat01G000760	EVM0032875
Acat01G000770	EVM0010887
Acat01G000780	EVM0032702
Acat01G000790	EVM0002916
Acat01G000800	EVM0005203
Acat01G000810	EVM0023648
Acat01G000820	EVM0003235
Acat01G000830	EVM0025015
Acat01G000840	EVM0001424
Acat01G000850	EVM0024441
Acat01G000860	EVM0032067
Acat01G000870	EVM0012061
Acat01G000880	EVM0012679
Acat01G000890	EVM0015796
Acat01G000900	EVM0032895
Acat01G000910	EVM0002556
Acat01G000920	EVM0011896
Acat01G000930	EVM0002580
Acat01G000940	EVM0027951
Acat01G000950	EVM0013751
Acat01G000960	EVM0031287
Acat01G000970	EVM0004230
Acat01G000980	EVM0006080
Acat01G000990	EVM0011615
Acat01G001000	EVM0029508
Acat01G001010	EVM0008242
Acat01G001020	EVM0003295
Acat01G001030	EVM0004437
Acat01G001040	EVM0004090
Acat01G001050	EVM0005152
Acat01G001060	EVM0023528
Acat01G001070	EVM0023748
Acat01G001080	EVM0015674
Acat01G001090	EVM0000891
Acat01G001100	EVM0004787
Acat01G001110	EVM0015692
Acat01G001120	EVM0008745
Acat01G001130	EVM0018383
Acat01G001140	EVM0003172
Acat01G001150	EVM0027738
Acat01G001160	EVM0019503
Acat01G001170	EVM0028147
Acat01G001180	EVM0030632
Acat01G001190	EVM0030524
Acat01G001200	EVM0013908
Acat01G001210	EVM0016302
Acat01G001220	EVM0031623
Acat01G001230	EVM0033308
Acat01G001240	EVM0000166
Acat01G001250	EVM0024916
Acat01G001260	EVM0033590
Acat01G001270	EVM0006727
Acat01G001280	EVM0004745
Acat01G001290	EVM0018390
Acat01G001300	EVM0008769
Acat01G001310	EVM0006281
Acat01G001320	EVM0003935
Acat01G001330	EVM0016900
Acat01G001340	EVM0005615
Acat01G001350	EVM0006414
Acat01G001360	EVM0023923
Acat01G001370	EVM0016048
Acat01G001380	EVM0024924
Acat01G001390	EVM0022265
Acat01G001400	EVM0008167
Acat01G001410	EVM0031110
Acat01G001420	EVM0025367
Acat01G001430	EVM0022567
Acat01G001440	EVM0002464
Acat01G001450	EVM0008377
Acat01G001460	EVM0024196
Acat01G001470	EVM0007717
Acat01G001480	EVM0027911
Acat01G001490	EVM0010434
Acat01G001500	EVM0032675
Acat01G001510	EVM0022113
Acat01G001520	EVM0013267
Acat01G001530	EVM0016710
Acat01G001540	EVM0032793
Acat01G001550	EVM0027723
Acat01G001560	EVM0000280
Acat01G001570	EVM0025281
Acat01G001580	EVM0007784
Acat01G001590	EVM0030172
Acat01G001600	EVM0001524
Acat01G001610	EVM0019524
