Asac12G016960.1	ACSA_00001
Asac12G004600.1	ACSA_00002
Asac13G011270.1	ACSA_00003
Asac12G023790.1	ACSA_00004
Asac10G000290.1	ACSA_00005
Asac10G019720.1	ACSA_00006
Asac04G004700.1	ACSA_00007
Asac09G008840.1	ACSA_00008
Asac07G002240.1	ACSA_00009
Asac10G021620.1	ACSA_00010
Asac12G006210.1	ACSA_00011
Asac09G003880.1	ACSA_00012
Asac04G021190.1	ACSA_00013
Asac08G021940.1	ACSA_00014
Asac12G023360.1	ACSA_00015
Asac01G025160.1	ACSA_00016
Asac10G003570.1	ACSA_00017
Asac02G017680.1	ACSA_00018
Asac10G021330.1	ACSA_00019
Asac012S000020.1	ACSA_00020
Asac02G017460.1	ACSA_00021
Asac05G000350.1	ACSA_00022
Asac05G011350.1	ACSA_00023
Asac09G004630.1	ACSA_00024
Asac08G005500.1	ACSA_00025
Asac04G022920.1	ACSA_00026
Asac08G000800.1	ACSA_00027
Asac12G015340.1	ACSA_00028
Asac01G029490.1	ACSA_00029
Asac07G003510.1	ACSA_00030
Asac10G007480.1	ACSA_00031
Asac11G018690.1	ACSA_00032
Asac07G022110.1	ACSA_00033
Asac05G031530.1	ACSA_00034
Asac03G006070.1	ACSA_00035
Asac03G013400.1	ACSA_00036
Asac11G000640.1	ACSA_00037
Asac05G002410.1	ACSA_00038
Asac02G020260.1	ACSA_00039
Asac05G030580.1	ACSA_00040
Asac05G028990.1	ACSA_00041
Asac12G011630.1	ACSA_00042
Asac10G003590.1	ACSA_00043
Asac02G014740.1	ACSA_00044
Asac10G002900.1	ACSA_00045
Asac01G021890.1	ACSA_00046
Asac13G022270.1	ACSA_00047
Asac010S000100.1	ACSA_00048
Asac08G022120.1	ACSA_00049
Asac09G010690.1	ACSA_00050
Asac05G026030.1	ACSA_00051
Asac03G013740.1	ACSA_00052
Asac06G007620.1	ACSA_00053
Asac01G026380.1	ACSA_00054
Asac06G002850.1	ACSA_00055
Asac04G012210.1	ACSA_00056
Asac08G021980.1	ACSA_00057
Asac06G006440.1	ACSA_00058
Asac12G018380.1	ACSA_00059
Asac02G011760.1	ACSA_00060
Asac02G017440.1	ACSA_00061
Asac290S000010.1	ACSA_00062
Asac10G011630.1	ACSA_00063
Asac07G018170.1	ACSA_00064
Asac12G009760.1	ACSA_00065
Asac02G016330.1	ACSA_00066
Asac108S000060.1	ACSA_00067
Asac01G008310.1	ACSA_00068
Asac02G010810.1	ACSA_00069
Asac07G002220.1	ACSA_00070
Asac11G012130.1	ACSA_00071
Asac07G009960.1	ACSA_00072
Asac12G017010.1	ACSA_00073
Asac05G019620.1	ACSA_00074
Asac06G002920.1	ACSA_00075
Asac08G012560.1	ACSA_00076
Asac05G024430.1	ACSA_00077
Asac02G023850.1	ACSA_00078
Asac02G006460.1	ACSA_00079
Asac12G001120.1	ACSA_00080
Asac13G004150.1	ACSA_00081
Asac04G023210.1	ACSA_00082
Asac10G019450.1	ACSA_00083
Asac04G022870.1	ACSA_00084
Asac13G013610.1	ACSA_00085
Asac02G030750.1	ACSA_00086
Asac06G008600.1	ACSA_00087
Asac10G019510.1	ACSA_00088
Asac04G023430.1	ACSA_00089
Asac02G029540.1	ACSA_00090
Asac05G026160.1	ACSA_00091
Asac10G021860.1	ACSA_00092
Asac04G018660.1	ACSA_00093
Asac08G020890.1	ACSA_00094
Asac07G009030.1	ACSA_00095
Asac06G003750.1	ACSA_00096
Asac12G002990.1	ACSA_00097
Asac13G004680.1	ACSA_00098
Asac10G003100.1	ACSA_00099
Asac13G015370.1	ACSA_00100
Asac02G009100.1	ACSA_00101
Asac01G036860.1	ACSA_00102
Asac13G020550.1	ACSA_00103
Asac10G000380.1	ACSA_00104
Asac01G023440.1	ACSA_00105
Asac05G015750.1	ACSA_00106
Asac11G000340.1	ACSA_00107
Asac12G023640.1	ACSA_00108
Asac05G016760.1	ACSA_00109
Asac07G008090.1	ACSA_00110
Asac11G019520.1	ACSA_00111
Asac02G033280.1	ACSA_00112
Asac09G011480.1	ACSA_00113
Asac05G012640.1	ACSA_00114
Asac378S000170.1	ACSA_00115
Asac02G036960.1	ACSA_00116
Asac06G019160.1	ACSA_00117
Asac07G000980.1	ACSA_00118
Asac09G000800.1	ACSA_00119
Asac12G007230.1	ACSA_00120
Asac12G022640.1	ACSA_00121
Asac01G036750.1	ACSA_00122
Asac02G025530.1	ACSA_00123
Asac05G016030.1	ACSA_00124
Asac05G030420.1	ACSA_00125
Asac02G006570.1	ACSA_00126
Asac06G025660.1	ACSA_00127
Asac01G036230.1	ACSA_00128
Asac10G021990.1	ACSA_00129
Asac02G016950.1	ACSA_00130
Asac06G002830.1	ACSA_00131
Asac01G020600.1	ACSA_00132
Asac10G003040.1	ACSA_00133
Asac06G017670.1	ACSA_00134
Asac09G008280.1	ACSA_00135
Asac13G002530.1	ACSA_00136
Asac01G033530.1	ACSA_00137
Asac13G006670.1	ACSA_00138
Asac05G017820.1	ACSA_00139
Asac05G033060.1	ACSA_00140
Asac12G002730.1	ACSA_00141
Asac03G012410.1	ACSA_00142
Asac03G031250.1	ACSA_00143
Asac08G018040.1	ACSA_00144
Asac13G010210.1	ACSA_00145
Asac10G011910.1	ACSA_00146
Asac10G004690.1	ACSA_00147
Asac10G013720.1	ACSA_00148
Asac02G031480.1	ACSA_00149
Asac06G006990.1	ACSA_00150
Asac06G003270.1	ACSA_00151
Asac09G004360.1	ACSA_00152
Asac13G002650.1	ACSA_00153
Asac02G023230.1	ACSA_00154
Asac10G010930.1	ACSA_00155
Asac12G022500.1	ACSA_00156
Asac13G019850.1	ACSA_00157
Asac05G008050.1	ACSA_00158
Asac06G006720.1	ACSA_00159
Asac376S000030.1	ACSA_00160
Asac03G000550.1	ACSA_00161
Asac12G025690.1	ACSA_00162
Asac015S000120.1	ACSA_00163
Asac13G000130.1	ACSA_00164
Asac08G023390.1	ACSA_00165
Asac07G010790.1	ACSA_00166
Asac04G009620.1	ACSA_00167
Asac025S000070.1	ACSA_00168
Asac03G033650.1	ACSA_00169
Asac117S000020.1	ACSA_00170
Asac09G017250.1	ACSA_00171
Asac09G024760.1	ACSA_00172
Asac12G008760.1	ACSA_00173
Asac06G020180.1	ACSA_00174
Asac04G008370.1	ACSA_00175
Asac11G010400.1	ACSA_00176
Asac06G025010.1	ACSA_00177
Asac05G017150.1	ACSA_00178
Asac11G004880.1	ACSA_00179
Asac04G008700.1	ACSA_00180
Asac03G011850.1	ACSA_00181
Asac02G026410.1	ACSA_00182
Asac10G009050.1	ACSA_00183
Asac07G009400.1	ACSA_00184
Asac01G013110.1	ACSA_00185
