Atru01G000010	Atru.chr1.1
Atru01G000020	Atru.chr1.2
Atru01G000030	Atru.chr1.3
Atru01G000040	Atru.chr1.4
Atru01G000050	Atru.chr1.5
Atru01G000060	Atru.chr1.6
Atru01G000070	Atru.chr1.7.1
Atru01G000080	Atru.chr1.8
Atru01G000090	Atru.chr1.9
Atru01G000100	Atru.chr1.10
Atru01G000110	Atru.chr1.11
Atru01G000120	Atru.chr1.12.4
Atru01G000130	Atru.chr1.13
Atru01G000140	Atru.chr1.16
Atru01G000150	Atru.chr1.17
Atru01G000160	Atru.chr1.18
Atru01G000170	Atru.chr1.19
Atru01G000180	Atru.chr1.20
Atru01G000190	Atru.chr1.21
Atru01G000200	Atru.chr1.22
Atru01G000210	Atru.chr1.23
Atru01G000220	Atru.chr1.24
Atru01G000230	Atru.chr1.25
Atru01G000240	Atru.chr1.29
Atru01G000250	Atru.chr1.31
Atru01G000260	Atru.chr1.33
Atru01G000270	Atru.chr1.34
Atru01G000280	Atru.chr1.35
Atru01G000290	Atru.chr1.36
Atru01G000300	Atru.chr1.37
Atru01G000310	Atru.chr1.38
Atru01G000320	Atru.chr1.39
Atru01G000330	Atru.chr1.42
Atru01G000340	Atru.chr1.43
Atru01G000350	Atru.chr1.44
Atru01G000360	Atru.chr1.45
Atru01G000370	Atru.chr1.46
Atru01G000380	Atru.chr1.47
Atru01G000390	Atru.chr1.48
Atru01G000400	Atru.chr1.49
Atru01G000410	Atru.chr1.50
Atru01G000420	Atru.chr1.51
Atru01G000430	Atru.chr1.52
Atru01G000440	Atru.chr1.53
Atru01G000450	Atru.chr1.54
Atru01G000460	Atru.chr1.55
Atru01G000470	Atru.chr1.56
Atru01G000480	Atru.chr1.57
Atru01G000490	Atru.chr1.58
Atru01G000500	Atru.chr1.59
Atru01G000510	Atru.chr1.60
Atru01G000520	Atru.chr1.61
Atru01G000530	Atru.chr1.62
Atru01G000540	Atru.chr1.63
Atru01G000550	Atru.chr1.64
Atru01G000560	Atru.chr1.65
Atru01G000570	Atru.chr1.66
Atru01G000580	Atru.chr1.67
Atru01G000590	Atru.chr1.68
Atru01G000600	Atru.chr1.69
Atru01G000610	Atru.chr1.72
Atru01G000620	Atru.chr1.73
Atru01G000630	Atru.chr1.74
Atru01G000640	Atru.chr1.75
Atru01G000650	Atru.chr1.76
Atru01G000660	Atru.chr1.77
Atru01G000670	Atru.chr1.78
Atru01G000680	Atru.chr1.79
Atru01G000690	Atru.chr1.80
Atru01G000700	Atru.chr1.81
Atru01G000710	Atru.chr1.84
Atru01G000720	Atru.chr1.85
Atru01G000730	Atru.chr1.86
Atru01G000740	Atru.BG.171.p
Atru01G000750	Atru.chr1.88
Atru01G000760	Atru.chr1.89
Atru01G000770	Atru.chr1.90
Atru01G000780	Atru.chr1.91
Atru01G000790	Atru.chr1.92
Atru01G000800	Atru.chr1.93
Atru01G000810	Atru.chr1.94
Atru01G000820	Atru.chr1.95
Atru01G000830	Atru.chr1.96
Atru01G000840	Atru.chr1.97
Atru01G000850	Atru.chr1.98
Atru01G000860	Atru.chr1.99
Atru01G000870	Atru.chr1.100
Atru01G000880	Atru.BG.157.p
Atru01G000890	Atru.chr1.102
Atru01G000900	Atru.BG.178.p
Atru01G000910	Atru.chr1.104
Atru01G000920	Atru.chr1.105
Atru01G000930	Atru.chr1.106
Atru01G000940	Atru.chr1.107
Atru01G000950	Atru.chr1.108
Atru01G000960	Atru.chr1.116
Atru01G000970	Atru.chr1.117
Atru01G000980	Atru.chr1.119
Atru01G000990	Atru.chr1.120
Atru01G001000	Atru.chr1.121
Atru01G001010	Atru.chr1.122
Atru01G001020	Atru.chr1.123
Atru01G001030	Atru.chr1.124
Atru01G001040	Atru.chr1.125
Atru01G001050	Atru.chr1.126
Atru01G001060	Atru.chr1.127
Atru01G001070	Atru.chr1.128
Atru01G001080	Atru.chr1.129
Atru01G001090	Atru.chr1.130
Atru01G001100	Atru.chr1.131
Atru01G001110	Atru.chr1.132
Atru01G001120	Atru.BG.176.p
Atru01G001130	Atru.chr1.133.1
Atru01G001140	Atru.chr1.134
Atru01G001150	Atru.chr1.135
Atru01G001160	Atru.chr1.136
Atru01G001170	Atru.chr1.137
Atru01G001180	Atru.chr1.138
Atru01G001190	Atru.chr1.139
