Atru01	chr1
Atru10	chr10
Atru11	chr11
Atru12	chr12
Atru13	chr13
Atru02	chr2
Atru03	chr3
Atru04	chr4
Atru05	chr5
Atru06	chr6
Atru07	chr7
Atru08	chr8
Atru09	chr9
Atru_scaffold001	ctg1057_2
Atru_scaffold002	ctg114
Atru_scaffold003	ctg1152
Atru_scaffold004	ctg1432
Atru_scaffold005	ctg1434
Atru_scaffold006	ctg1435
Atru_scaffold007	ctg1436
Atru_scaffold008	ctg1438
Atru_scaffold009	ctg1439
Atru_scaffold010	ctg192_2
Atru_scaffold011	ctg24
Atru_scaffold012	ctg647_4
Atru_scaffold013	ctg664
Atru_scaffold014	ctg727
Atru_scaffold015	ctg752_2
Atru_scaffold016	ctg752_3
Atru_scaffold017	ctg769_2
Atru_scaffold018	ctg794
Atru_scaffold019	ctg802
Atru_scaffold020	ctg942
Atru_scaffold021	ctg97_1
