Apse01G000010.1	GWHTBECT000001
Apse01G000020.1	GWHTBECT000002
Apse01G000030.1	GWHTBECT000003
Apse01G000040.1	GWHTBECT000004
Apse01G000050.1	GWHTBECT000005
Apse01G000050.2	GWHTBECT000006
Apse01G000050.3	GWHTBECT000007
Apse01G000060.1	GWHTBECT000008
Apse01G000070.1	GWHTBECT000009
Apse01G000080.1	GWHTBECT000010
Apse01G000090.1	GWHTBECT000011
Apse01G000100.1	GWHTBECT000012
Apse01G000110.1	GWHTBECT000013
Apse01G000120.1	GWHTBECT000014
Apse01G000130.1	GWHTBECT000015
Apse01G000140.1	GWHTBECT000016
Apse01G000150.1	GWHTBECT000017
Apse01G000160.1	GWHTBECT000018
Apse01G000170.1	GWHTBECT000019
Apse01G000180.1	GWHTBECT000020
Apse01G000190.1	GWHTBECT000021
Apse01G000200.1	GWHTBECT000022
Apse01G000210.1	GWHTBECT000023
Apse01G000220.1	GWHTBECT000024
Apse01G000230.1	GWHTBECT000025
Apse01G000240.1	GWHTBECT000026
Apse01G000250.1	GWHTBECT000027
Apse01G000250.2	GWHTBECT000028
Apse01G000260.1	GWHTBECT000029
Apse01G000270.1	GWHTBECT000030
Apse01G000280.1	GWHTBECT000031
Apse01G000290.1	GWHTBECT000032
Apse01G000300.1	GWHTBECT000033
Apse01G000310.1	GWHTBECT000034
Apse01G000320.1	GWHTBECT000035
Apse01G000330.1	GWHTBECT000036
Apse01G000340.1	GWHTBECT000037
Apse01G000350.1	GWHTBECT000038
Apse01G000360.1	GWHTBECT000039
Apse01G000370.1	GWHTBECT000040
Apse01G000380.1	GWHTBECT000041
Apse01G000390.1	GWHTBECT000042
Apse01G000400.1	GWHTBECT000043
Apse01G000410.1	GWHTBECT000044
Apse01G000410.2	GWHTBECT000045
Apse01G000420.1	GWHTBECT000046
Apse01G000430.1	GWHTBECT000047
Apse01G000440.1	GWHTBECT000048
Apse01G000450.1	GWHTBECT000049
Apse01G000450.2	GWHTBECT000050
Apse01G000460.1	GWHTBECT000051
Apse01G000470.1	GWHTBECT000052
Apse01G000480.1	GWHTBECT000053
Apse01G000490.1	GWHTBECT000054
Apse01G000500.1	GWHTBECT000055
Apse01G000500.2	GWHTBECT000056
Apse01G000500.3	GWHTBECT000057
Apse01G000510.1	GWHTBECT000058
Apse01G000520.1	GWHTBECT000059
Apse01G000530.1	GWHTBECT000060
Apse01G000540.1	GWHTBECT000061
Apse01G000550.1	GWHTBECT000062
Apse01G000560.1	GWHTBECT000063
Apse01G000570.1	GWHTBECT000064
Apse01G000580.1	GWHTBECT000065
Apse01G000590.1	GWHTBECT000066
Apse01G000600.1	GWHTBECT000067
Apse01G000610.1	GWHTBECT000068
Apse01G000620.1	GWHTBECT000069
Apse01G000630.1	GWHTBECT000070
Apse01G000640.1	GWHTBECT000071
Apse01G000650.1	GWHTBECT000072
Apse01G000660.1	GWHTBECT000073
Apse01G000670.1	GWHTBECT000074
Apse01G000680.1	GWHTBECT000075
Apse01G000690.1	GWHTBECT000076
Apse01G000700.1	GWHTBECT000077
Apse01G000710.1	GWHTBECT000078
Apse01G000710.2	GWHTBECT000079
Apse01G000720.1	GWHTBECT000080
Apse01G000730.1	GWHTBECT000081
Apse01G000740.1	GWHTBECT000082
Apse01G000750.1	GWHTBECT000083
Apse01G000760.1	GWHTBECT000084
Apse01G000760.2	GWHTBECT000085
Apse01G000770.1	GWHTBECT000086
Apse01G000780.1	GWHTBECT000087
Apse01G000790.1	GWHTBECT000088
Apse01G000800.1	GWHTBECT000089
Apse01G000810.1	GWHTBECT000090
Apse01G000820.1	GWHTBECT000091
Apse01G000820.2	GWHTBECT000092
Apse01G000820.3	GWHTBECT000093
Apse01G000830.1	GWHTBECT000094
Apse01G000840.1	GWHTBECT000095
Apse01G000850.1	GWHTBECT000096
Apse01G000850.2	GWHTBECT000097
Apse01G000860.1	GWHTBECT000098
Apse01G000870.1	GWHTBECT000099
Apse01G000880.1	GWHTBECT000100
Apse01G000890.1	GWHTBECT000101
Apse01G000900.1	GWHTBECT000102
Apse01G000910.1	GWHTBECT000103
Apse01G000920.1	GWHTBECT000104
