Ayan01G000010.1	Acyan01G0000100.1
Ayan01G000020.1	Acyan01G0000200.1
Ayan01G000030.1	Acyan01G0000300.1
Ayan01G000040.1	Acyan01G0000400.1
Ayan01G000050.1	Acyan01G0000500.1
Ayan01G000060.1	Acyan01G0000600.1
Ayan01G000070.1	Acyan01G0000700.1
Ayan01G000080.1	Acyan01G0000800.1
Ayan01G000090.1	Acyan01G0000900.1
Ayan01G000100.1	Acyan01G0001000.1
Ayan01G000110.1	Acyan01G0001100.1
Ayan01G000120.1	Acyan01G0001200.1
Ayan01G000130.1	Acyan01G0001300.1
Ayan01G000140.1	Acyan01G0001400.1
Ayan01G000150.1	Acyan01G0001500.1
Ayan01G000160.1	Acyan01G0001600.1
Ayan01G000170.1	Acyan01G0001700.1
Ayan01G000180.1	Acyan01G0001800.1
Ayan01G000190.1	Acyan01G0001900.1
Ayan01G000200.1	Acyan01G0002000.1
Ayan01G000210.1	Acyan01G0002100.1
Ayan01G000220.1	Acyan01G0002200.1
Ayan01G000230.1	Acyan01G0002300.1
Ayan01G000240.1	Acyan01G0002400.1
Ayan01G000250.1	Acyan01G0002500.1
Ayan01G000260.1	Acyan01G0002600.1
Ayan01G000270.1	Acyan01G0002700.1
Ayan01G000280.1	Acyan01G0002800.1
Ayan01G000290.1	Acyan01G0002900.1
Ayan01G000300.1	Acyan01G0003000.1
Ayan01G000310.1	Acyan01G0003100.1
Ayan01G000320.1	Acyan01G0003200.1
Ayan01G000330.1	Acyan01G0003300.1
Ayan01G000340.1	Acyan01G0003400.1
Ayan01G000350.1	Acyan01G0003500.1
Ayan01G000360.1	Acyan01G0003600.1
Ayan01G000370.1	Acyan01G0003700.1
Ayan01G000380.1	Acyan01G0003800.1
Ayan01G000390.1	Acyan01G0003900.1
Ayan01G000400.1	Acyan01G0004000.1
Ayan01G000410.1	Acyan01G0004100.1
Ayan01G000420.1	Acyan01G0004200.1
Ayan01G000430.1	Acyan01G0004300.1
Ayan01G000440.1	Acyan01G0004400.1
Ayan01G000450.1	Acyan01G0004500.1
Ayan01G000460.1	Acyan01G0004600.1
Ayan01G000470.1	Acyan01G0004700.1
Ayan01G000480.1	Acyan01G0004800.1
Ayan01G000490.1	Acyan01G0004900.1
Ayan01G000500.1	Acyan01G0005000.1
Ayan01G000510.1	Acyan01G0005100.1
Ayan01G000520.1	Acyan01G0005200.1
Ayan01G000530.1	Acyan01G0005300.1
Ayan01G000540.1	Acyan01G0005400.1
Ayan01G000550.1	Acyan01G0005500.1
Ayan01G000560.1	Acyan01G0005600.1
Ayan01G000570.1	Acyan01G0005700.1
Ayan01G000580.1	Acyan01G0005800.1
Ayan01G000590.1	Acyan01G0005900.1
Ayan01G000600.1	Acyan01G0006000.1
Ayan01G000610.1	Acyan01G0006100.1
Ayan01G000620.1	Acyan01G0006200.1
Ayan01G000630.1	Acyan01G0006300.1
Ayan01G000640.1	Acyan01G0006400.1
Ayan01G000650.1	Acyan01G0006500.1
Ayan01G000660.1	Acyan01G0006600.1
Ayan01G000670.1	Acyan01G0006700.1
Ayan01G000680.1	Acyan01G0006800.1
Ayan01G000690.1	Acyan01G0006900.1
Ayan01G000700.1	Acyan01G0007000.1
Ayan01G000710.1	Acyan01G0007100.1
Ayan01G000720.1	Acyan01G0007200.1
Ayan01G000730.1	Acyan01G0007300.1
Ayan01G000740.1	Acyan01G0007400.1
Ayan01G000750.1	Acyan01G0007500.1
Ayan01G000760.1	Acyan01G0007600.1
Ayan01G000770.1	Acyan01G0007700.1
Ayan01G000780.1	Acyan01G0007800.1
Ayan01G000790.1	Acyan01G0007900.1
Ayan01G000800.1	Acyan01G0008000.1
Ayan01G000810.1	Acyan01G0008100.1
Ayan01G000820.1	Acyan01G0008200.1
Ayan01G000830.1	Acyan01G0008300.1
Ayan01G000840.1	Acyan01G0008400.1
Ayan01G000850.1	Acyan01G0008500.1
Ayan01G000860.1	Acyan01G0008600.1
Ayan01G000870.1	Acyan01G0008700.1
Ayan01G000880.1	Acyan01G0008800.1
Ayan01G000890.1	Acyan01G0008900.1
Ayan01G000900.1	Acyan01G0009000.1
Ayan01G000910.1	Acyan01G0009100.1
Ayan01G000920.1	Acyan01G0009200.1
Ayan01G000930.1	Acyan01G0009300.1
Ayan01G000940.1	Acyan01G0009400.1
Ayan01G000950.1	Acyan01G0009500.1
Ayan01G000960.1	Acyan01G0009600.1
Ayan01G000970.1	Acyan01G0009700.1
Ayan01G000980.1	Acyan01G0009800.1
Ayan01G000990.1	Acyan01G0009900.1
Ayan01G001000.1	Acyan01G0010000.1
Ayan01G001010.1	Acyan01G0010100.1
Ayan01G001020.1	Acyan01G0010200.1
Ayan01G001030.1	Acyan01G0010300.1
Ayan01G001040.1	Acyan01G0010400.1
Ayan01G001050.1	Acyan01G0010500.1
Ayan01G001060.1	Acyan01G0010600.1
Ayan01G001070.1	Acyan01G0010700.1
Ayan01G001080.1	Acyan01G0010800.1
Ayan01G001090.1	Acyan01G0010900.1
Ayan01G001100.1	Acyan01G0011000.1
Ayan01G001110.1	Acyan01G0011100.1
Ayan01G001120.1	Acyan01G0011200.1
Ayan01G001130.1	Acyan01G0011300.1
Ayan01G001140.1	Acyan01G0011400.1
Ayan01G001150.1	Acyan01G0011500.1
Ayan01G001160.1	Acyan01G0011600.1
Ayan01G001170.1	Acyan01G0011700.1
Ayan01G001180.1	Acyan01G0011800.1
Ayan01G001190.1	Acyan01G0011900.1
Ayan01G001200.1	Acyan01G0012000.1
Ayan01G001210.1	Acyan01G0012100.1
Ayan01G001220.1	Acyan01G0012200.1
Ayan01G001230.1	Acyan01G0012300.1
Ayan01G001240.1	Acyan01G0012400.1
Ayan01G001250.1	Acyan01G0012500.1
Ayan01G001260.1	Acyan01G0012600.1
Ayan01G001270.1	Acyan01G0012700.1
Ayan01G001280.1	Acyan01G0012800.1
Ayan01G001290.1	Acyan01G0012900.1
Ayan01G001300.1	Acyan01G0013000.1
Ayan01G001310.1	Acyan01G0013100.1
Ayan01G001320.1	Acyan01G0013200.1
Ayan01G001330.1	Acyan01G0013300.1
Ayan01G001340.1	Acyan01G0013400.1
Ayan01G001350.1	Acyan01G0013500.1
Ayan01G001360.1	Acyan01G0013600.1
Ayan01G001370.1	Acyan01G0013700.1
Ayan01G001380.1	Acyan01G0013800.1
Ayan01G001390.1	Acyan01G0013900.1
Ayan01G001400.1	Acyan01G0014000.1
Ayan01G001410.1	Acyan01G0014100.1
Ayan01G001420.1	Acyan01G0014200.1
Ayan01G001430.1	Acyan01G0014300.1
Ayan01G001440.1	Acyan01G0014400.1
Ayan01G001450.1	Acyan01G0014500.1
Ayan01G001460.1	Acyan01G0014600.1
Ayan01G001470.1	Acyan01G0014700.1
Ayan01G001480.1	Acyan01G0014800.1
Ayan01G001490.1	Acyan01G0014900.1
Ayan01G001500.1	Acyan01G0015000.1
Ayan01G001510.1	Acyan01G0015100.1
Ayan01G001520.1	Acyan01G0015200.1
Ayan01G001530.1	Acyan01G0015300.1
Ayan01G001540.1	Acyan01G0015400.1
Ayan01G001550.1	Acyan01G0015500.1
Ayan01G001560.1	Acyan01G0015600.1
Ayan01G001570.1	Acyan01G0015700.1
Ayan01G001580.1	Acyan01G0015800.1
Ayan01G001590.1	Acyan01G0015900.1
Ayan01G001600.1	Acyan01G0016000.1
Ayan01G001610.1	Acyan01G0016100.1
Ayan01G001620.1	Acyan01G0016200.1
Ayan01G001630.1	Acyan01G0016300.1
Ayan01G001640.1	Acyan01G0016400.1
Ayan01G001650.1	Acyan01G0016500.1
Ayan01G001660.1	Acyan01G0016600.1
Ayan01G001670.1	Acyan01G0016700.1
Ayan01G001680.1	Acyan01G0016800.1
Ayan01G001690.1	Acyan01G0016900.1
Ayan01G001700.1	Acyan01G0017000.1
Ayan01G001710.1	Acyan01G0017100.1
Ayan01G001720.1	Acyan01G0017200.1
Ayan01G001730.1	Acyan01G0017300.1
Ayan01G001740.1	Acyan01G0017400.1
Ayan01G001750.1	Acyan01G0017500.1
Ayan01G001760.1	Acyan01G0017600.1
Ayan01G001770.1	Acyan01G0017700.1
Ayan01G001780.1	Acyan01G0017800.1
Ayan01G001790.1	Acyan01G0017900.1
Ayan01G001800.1	Acyan01G0018000.1
Ayan01G001810.1	Acyan01G0018100.1
Ayan01G001820.1	Acyan01G0018200.1
Ayan01G001830.1	Acyan01G0018300.1
Ayan01G001840.1	Acyan01G0018400.1
Ayan01G001850.1	Acyan01G0018500.1
Ayan01G001860.1	Acyan01G0018600.1
Ayan01G001870.1	Acyan01G0018700.1
Ayan01G001880.1	Acyan01G0018800.1
Ayan01G001890.1	Acyan01G0018900.1
Ayan01G001900.1	Acyan01G0019000.1
Ayan01G001910.1	Acyan01G0019100.1
Ayan01G001920.1	Acyan01G0019200.1
Ayan01G001930.1	Acyan01G0019300.1
Ayan01G001940.1	Acyan01G0019400.1
Ayan01G001950.1	Acyan01G0019500.1
Ayan01G001960.1	Acyan01G0019600.1
Ayan01G001970.1	Acyan01G0019700.1
Ayan01G001980.1	Acyan01G0019800.1
Ayan01G001990.1	Acyan01G0019900.1
Ayan01G002000.1	Acyan01G0020000.1
Ayan01G002010.1	Acyan01G0020100.1
Ayan01G002020.1	Acyan01G0020200.1
Ayan01G002030.1	Acyan01G0020300.1
Ayan01G002040.1	Acyan01G0020400.1
Ayan01G002050.1	Acyan01G0020500.1
Ayan01G002060.1	Acyan01G0020600.1
Ayan01G002070.1	Acyan01G0020700.1
Ayan01G002080.1	Acyan01G0020800.1
Ayan01G002090.1	Acyan01G0020900.1
Ayan01G002100.1	Acyan01G0021000.1
Ayan01G002110.1	Acyan01G0021100.1
Ayan01G002120.1	Acyan01G0021200.1
Ayan01G002130.1	Acyan01G0021300.1
Ayan01G002140.1	Acyan01G0021400.1
Ayan01G002150.1	Acyan01G0021500.1
Ayan01G002160.1	Acyan01G0021600.1
Ayan01G002170.1	Acyan01G0021700.1
Ayan01G002180.1	Acyan01G0021800.1
Ayan01G002190.1	Acyan01G0021900.1
Ayan01G002200.1	Acyan01G0022000.1
Ayan01G002210.1	Acyan01G0022100.1
Ayan01G002220.1	Acyan01G0022200.1
Ayan01G002230.1	Acyan01G0022300.1
Ayan01G002240.1	Acyan01G0022400.1
Ayan01G002250.1	Acyan01G0022500.1
Ayan01G002260.1	Acyan01G0022600.1
Ayan01G002270.1	Acyan01G0022700.1
Ayan01G002280.1	Acyan01G0022800.1
Ayan01G002290.1	Acyan01G0022900.1
Ayan01G002300.1	Acyan01G0023000.1
Ayan01G002310.1	Acyan01G0023100.1
Ayan01G002320.1	Acyan01G0023200.1
Ayan01G002330.1	Acyan01G0023300.1
Ayan01G002340.1	Acyan01G0023400.1
Ayan01G002350.1	Acyan01G0023500.1
Ayan01G002360.1	Acyan01G0023600.1
Ayan01G002370.1	Acyan01G0023700.1
Ayan01G002380.1	Acyan01G0023800.1
Ayan01G002390.1	Acyan01G0023900.1
Ayan01G002400.1	Acyan01G0024000.1
Ayan01G002410.1	Acyan01G0024100.1
Ayan01G002420.1	Acyan01G0024200.1
Ayan01G002430.1	Acyan01G0024300.1
Ayan01G002440.1	Acyan01G0024400.1
Ayan01G002450.1	Acyan01G0024500.1
Ayan01G002460.1	Acyan01G0024600.1
Ayan01G002470.1	Acyan01G0024700.1
Ayan01G002480.1	Acyan01G0024800.1
Ayan01G002490.1	Acyan01G0024900.1
Ayan01G002500.1	Acyan01G0025000.1
Ayan01G002510.1	Acyan01G0025100.1
Ayan01G002520.1	Acyan01G0025200.1
Ayan01G002530.1	Acyan01G0025300.1
Ayan01G002540.1	Acyan01G0025400.1
Ayan01G002550.1	Acyan01G0025500.1
Ayan01G002560.1	Acyan01G0025600.1
Ayan01G002570.1	Acyan01G0025700.1
Ayan01G002580.1	Acyan01G0025800.1
Ayan01G002590.1	Acyan01G0025900.1
Ayan01G002600.1	Acyan01G0026000.1
Ayan01G002610.1	Acyan01G0026100.1
Ayan01G002620.1	Acyan01G0026200.1
Ayan01G002630.1	Acyan01G0026300.1
Ayan01G002640.1	Acyan01G0026400.1
Ayan01G002650.1	Acyan01G0026500.1
Ayan01G002660.1	Acyan01G0026600.1
Ayan01G002670.1	Acyan01G0026700.1
Ayan01G002680.1	Acyan01G0026800.1
Ayan01G002690.1	Acyan01G0026900.1
Ayan01G002700.1	Acyan01G0027000.1
Ayan01G002710.1	Acyan01G0027100.1
Ayan01G002720.1	Acyan01G0027200.1
Ayan01G002730.1	Acyan01G0027300.1
Ayan01G002740.1	Acyan01G0027400.1
Ayan01G002750.1	Acyan01G0027500.1
Ayan01G002760.1	Acyan01G0027600.1
Ayan01G002770.1	Acyan01G0027700.1
Ayan01G002780.1	Acyan01G0027800.1
Ayan01G002790.1	Acyan01G0027900.1
Ayan01G002800.1	Acyan01G0028000.1
Ayan01G002810.1	Acyan01G0028100.1
Ayan01G002820.1	Acyan01G0028200.1
Ayan01G002830.1	Acyan01G0028300.1
