AyanMt	Mt
AyanPt	Pt
Ayan01	chr01
Ayan02	chr02
Ayan03	chr03
Ayan04	chr04
Ayan05	chr05
Ayan06	chr06
Ayan07	chr07
Ayan08	chr08
Ayan09	chr09
Ayan10	chr10
Ayan11	chr11
Ayan12	chr12
Ayan13	chr13
Ayan_scaffold100	ctg100
Ayan_scaffold101	ctg101
Ayan_scaffold102	ctg102
Ayan_scaffold103	ctg103
Ayan_scaffold104	ctg104
Ayan_scaffold105	ctg105
Ayan_scaffold106	ctg106
Ayan_scaffold107	ctg107
Ayan_scaffold108	ctg108
Ayan_scaffold109	ctg109
Ayan_scaffold110	ctg110
Ayan_scaffold111	ctg111
Ayan_scaffold112	ctg112
Ayan_scaffold113	ctg113
Ayan_scaffold114	ctg114
Ayan_scaffold115	ctg115
Ayan_scaffold116	ctg116
Ayan_scaffold117	ctg117
Ayan_scaffold118	ctg118
Ayan_scaffold119	ctg119
Ayan_scaffold120	ctg120
Ayan_scaffold121	ctg121
Ayan_scaffold122	ctg122
Ayan_scaffold123	ctg123
Ayan_scaffold124	ctg124
Ayan_scaffold125	ctg125
Ayan_scaffold126	ctg126
Ayan_scaffold127	ctg127
Ayan_scaffold128	ctg128
Ayan_scaffold129	ctg129
Ayan_scaffold130	ctg130
Ayan_scaffold131	ctg131
Ayan_scaffold133	ctg133
Ayan_scaffold134	ctg134
Ayan_scaffold135	ctg135
Ayan_scaffold136	ctg136
Ayan_scaffold137	ctg137
Ayan_scaffold138	ctg138
Ayan_scaffold139	ctg139
Ayan_scaffold014	ctg14
Ayan_scaffold140	ctg140
Ayan_scaffold141	ctg141
Ayan_scaffold142	ctg142
Ayan_scaffold143	ctg143
Ayan_scaffold144	ctg144
Ayan_scaffold145	ctg145
Ayan_scaffold146	ctg146
Ayan_scaffold147	ctg147
Ayan_scaffold148	ctg148
Ayan_scaffold149	ctg149
Ayan_scaffold015	ctg15
Ayan_scaffold150	ctg150
Ayan_scaffold151	ctg151
Ayan_scaffold152	ctg152
Ayan_scaffold153	ctg153
Ayan_scaffold154	ctg154
Ayan_scaffold155	ctg155
Ayan_scaffold156	ctg156
Ayan_scaffold157	ctg157
Ayan_scaffold158	ctg158
Ayan_scaffold159	ctg159
Ayan_scaffold016	ctg16
Ayan_scaffold160	ctg160
Ayan_scaffold161	ctg161
Ayan_scaffold162	ctg162
Ayan_scaffold163	ctg163
Ayan_scaffold164	ctg164
Ayan_scaffold165	ctg165
Ayan_scaffold166	ctg166
Ayan_scaffold167	ctg167
Ayan_scaffold168	ctg168
Ayan_scaffold169	ctg169
Ayan_scaffold017	ctg17
Ayan_scaffold170	ctg170
Ayan_scaffold171	ctg171
Ayan_scaffold172	ctg172
Ayan_scaffold173	ctg173
Ayan_scaffold174	ctg174
Ayan_scaffold175	ctg175
Ayan_scaffold176	ctg176
Ayan_scaffold177	ctg177
Ayan_scaffold178	ctg178
Ayan_scaffold179	ctg179
Ayan_scaffold018	ctg18
Ayan_scaffold180	ctg180
Ayan_scaffold181	ctg181
Ayan_scaffold182	ctg182
Ayan_scaffold183	ctg183
Ayan_scaffold184	ctg184
Ayan_scaffold185	ctg185
Ayan_scaffold186	ctg186
Ayan_scaffold187	ctg187
Ayan_scaffold188	ctg188
Ayan_scaffold189	ctg189
Ayan_scaffold019	ctg19
Ayan_scaffold190	ctg190
Ayan_scaffold191	ctg191
Ayan_scaffold192	ctg192
Ayan_scaffold193	ctg193
Ayan_scaffold194	ctg194
Ayan_scaffold195	ctg195
Ayan_scaffold196	ctg196
Ayan_scaffold197	ctg197
Ayan_scaffold198	ctg198
Ayan_scaffold199	ctg199
Ayan_scaffold020	ctg20
Ayan_scaffold200	ctg200
Ayan_scaffold201	ctg201
Ayan_scaffold202	ctg202
Ayan_scaffold203	ctg203
